Gene stable ID,Gene Synonym,Gene name
ENSMUSG00000028060,Khdc4,2810403A07Rik
ENSMUSG00000023350,Phf8-ps,4921501E09Rik
ENSMUSG00000067925,Rtl8a,Cxx1a
ENSMUSG00000067924,Rtl8b,Cxx1b
ENSMUSG00000051851,Rtl8c,Cxx1c
ENSMUSG00000033883,Zfp267,D3Ertd254e
ENSMUSG00000061062,Hdac1-ps,Gm10093
ENSMUSG00000107482,Etfbl,Gm45233
ENSMUSG00000078249,Hmga1b,Hmga1-rs1
ENSMUSG00000018199,Ro60,Trove2
ENSMUSG00000027656,Ccn5,Wisp2
ENSMUSG00000091449,,Gm10269
ENSMUSG00000047643,,Gm5454
ENSMUSG00000049576,Zfa,Zfa-ps
ENSMUSG00000089922,,Gm43517
ENSMUSG00000118491,U05342,Gm44505
ENSMUSG00000044538,Gm4830,Obox3-ps8
ENSMUSG00000091550,,Gm6811
ENSMUSG00000069439,,Gm8444
ENSMUSG00000113450,8430426H19Rik,Zfp935
ENSMUSG00000098905,E130120F12Rik,Zfp953
ENSMUSG00000058447,,Gm26920
ENSMUSG00000052414,,Gm28047
ENSMUSG00000100642,,Gm28230
ENSMUSG00000092544,,Gm20422
ENSMUSG00000101678,,Gm29609
ENSMUSG00000101298,,Gm28308
ENSMUSG00000094504,Gm5294,Foxl3
ENSMUSG00000109129,,Gm44973
ENSMUSG00000021252,Erg28,0610007P14Rik
ENSMUSG00000024442,Dele1,0610009O20Rik
ENSMUSG00000025731,Mettl26,0610011F06Rik
ENSMUSG00000028608,Czib,0610037L13Rik
ENSMUSG00000019689,Fmc1,1110001J03Rik
ENSMUSG00000027637,Rab5if,1110008F13Rik
ENSMUSG00000021023,Prorp,1110008L16Rik
ENSMUSG00000044991,Shld1,1110034G24Rik
ENSMUSG00000040720,Virma,1110037F02Rik
ENSMUSG00000045414,Dipk2a,1190002N15Rik
ENSMUSG00000041035,Ndac,Dpcd
ENSMUSG00000026694,Eef1aknmt,Mettl13
ENSMUSG00000051319,Mtln,1500011K16Rik
