,ENSMUSG00000016087,ENSMUSG00000032228,ENSMUSG00000066551,ENSMUSG00000022952,ENSMUSG00000055320,ENSMUSG00000024238,ENSMUSG00000024420,ENSMUSG00000030557,ENSMUSG00000031627,ENSMUSG00000033713,ENSMUSG00000052534,ENSMUSG00000008398,ENSMUSG00000021972,ENSMUSG00000022601,ENSMUSG00000038718,ENSMUSG00000055799,ENSMUSG00000062991,ENSMUSG00000002265,ENSMUSG00000005566,ENSMUSG00000005698,ENSMUSG00000006932,ENSMUSG00000008575,ENSMUSG00000009079,ENSMUSG00000020919,ENSMUSG00000021127,ENSMUSG00000022811,ENSMUSG00000024498,ENSMUSG00000024949,ENSMUSG00000024985,ENSMUSG00000025529,ENSMUSG00000026349,ENSMUSG00000026872,ENSMUSG00000027868,ENSMUSG00000029705,ENSMUSG00000030067,ENSMUSG00000030199,ENSMUSG00000031681,ENSMUSG00000037608,ENSMUSG00000038535,ENSMUSG00000038872,ENSMUSG00000039087,ENSMUSG00000042496,ENSMUSG00000045333,ENSMUSG00000048410,ENSMUSG00000048897,ENSMUSG00000049606,ENSMUSG00000049878,ENSMUSG00000053110,ENSMUSG00000053477,ENSMUSG00000056758,ENSMUSG00000063524,ENSMUSG00000078671,ENSMUSG00000001517,ENSMUSG00000002147,ENSMUSG00000002393,ENSMUSG00000002428,ENSMUSG00000003051,ENSMUSG00000003184,ENSMUSG00000003282,ENSMUSG00000003929,ENSMUSG00000049577,ENSMUSG00000014592,ENSMUSG00000001911,ENSMUSG00000043456,ENSMUSG00000000282,ENSMUSG00000037992,ENSMUSG00000037465,ENSMUSG00000048402,ENSMUSG00000055053,ENSMUSG00000056493,ENSMUSG00000000247,ENSMUSG00000000317,ENSMUSG00000023781,ENSMUSG00000025407,ENSMUSG00000027544,ENSMUSG00000037868,ENSMUSG00000040270,ENSMUSG00000005836,ENSMUSG00000008976,ENSMUSG00000015619,ENSMUSG00000018983,ENSMUSG00000025959,ENSMUSG00000026628,ENSMUSG00000027230,ENSMUSG00000027985,ENSMUSG00000028163,ENSMUSG00000029697,ENSMUSG00000031737,ENSMUSG00000036867,ENSMUSG00000038615,ENSMUSG00000044303,ENSMUSG00000050100,ENSMUSG00000051910,ENSMUSG00000057098,ENSMUSG00000059824,ENSMUSG00000074622,ENSMUSG00000075595,ENSMUSG00000076431,ENSMUSG00000017491,ENSMUSG00000021944,ENSMUSG00000022485,ENSMUSG00000022528,ENSMUSG00000025025,ENSMUSG00000025223,ENSMUSG00000028736,ENSMUSG00000029178
ENSMUSG00000016087,0,0,0,13.5944810703302,0,18.0440050202979,0,0,8.25017492640102,0,8.56929737024954,10.7270201657196,0,0,7.50106424274728,0,9.53382077477127,6.87036852590536,0,0,0,12.7789662215797,0,7.34408399063983,0,0,0,0,1.07716083234749,15.622824771698,0,9.2326733074119,0,0,11.9659298994993,0,0,0,0,0,0,0,4.1684435529821,0,0,0,0,0,9.49407230557172,8.94650406225503,0,0,0,0,0,0,0,0,0,0,7.43304516449605,0,0,4.72396716547442,0,0,0,0,17.4623473655937,0,9.67275085600655,0,0,0,0,9.56188093559179,1.19860587738278,0,0,9.95537740348219,0,0,0,0,0,0,0,0,0,0,0,0,0.135255421272408,10.856786985576,0,12.8015118140212,0,0,0.171644847490463,8.20184611575574,0,2.46737091700232,0,0,0,0
ENSMUSG00000032228,0.146277332701923,0,0,0.764932630495577,0,13.9893848188431,0,0,9.64350659698231,0,17.6403803042408,0.356637735442051,0,0,13.6159324693478,0,10.9893346610776,9.86145636708676,0,0,0,7.36421930940867,0,12.2878230954468,0,0,0,0,12.5975766703095,6.09040561472682,0,11.3436433742459,0,0,21.3476848901885,0,0,0,0,0,0,0,15.9892388599394,0,0,0,0,0,17.3272454678423,10.9149806957632,0,0,0,0,0,0,0,0,0,0,9.10550398943786,0,0,6.75733726770176,0,0,0,0,10.9191218761578,0,3.77785851626604,0,0,0,0,10.7761107024649,18.3507842493998,9.40444918130628,0,0.070355791724854,0,0,0,4.63067636742598,10.5884026680485,0,1.22673486890384,0,13.0651550273682,0,0,0,11.9320837045467,7.28867506553958,0,9.33239970623766,0,0,13.0622233615458,0.540430595876598,0,3.64377887468676,0,0,0,0
ENSMUSG00000066551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022952,0,6.50202542435858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66961728170628,0,0,0,0,4.46665515473335,0,15.1176188771942,0,0,0,0,0,0,0,12.1535742920257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0209470746455,0,0,0,0,0,0,0,2.95177766432749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0939658016514,0,0,0,0,0,0,0,0,8.45749777540777,0,0,0,0,0,4.69960170493687,0,0,0,0,0,0,0
ENSMUSG00000055320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024238,11.8883826442817,12.0692773266733,0,5.26581397129985,0,0,0,0,7.09380553528509,0,9.64217013346757,11.2888439046066,0,0,11.5308674037959,0,10.7632524983435,6.20377225850988,0,0,0,12.8419300214337,0,5.97733784280624,0,0,0,0,14.6170564155768,7.94857474605636,0,12.8445497847233,0,0,12.2649364316694,0,0,0,0,0,0,0,16.2629660665047,0,0,0,0,0,12.0905614395819,12.4678768279824,0,0,0,0,0,0,0,0,0,0,2.80105278846053,0,0,9.53193681170963,0,0,0,0,5.7515733049313,0,4.26966395033753,0,0,0,0,6.4166573349209,17.6925161283976,8.52516862741032,0,1.46252734225971,0,0,0,0,3.46543710863942,0,0.247723226356433,0,11.232250584258,0,0,0,13.6805180438374,6.47033687770203,0,0.730609544050686,0,0,10.7976607433613,6.14287676404189,0,3.21211325535565,0,0,0,0
ENSMUSG00000024420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000030557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000031627,16.0838726627433,5.60254183969625,0,0.249870735362439,0,11.8797937617293,0,0,0,0,0,9.59142249484734,0,0,9.25150439816986,0,2.3901944961916,0,0,0,0,10.0647577163199,0,13.2294806936535,0,0,0,0,6.67440962003582,6.55849668787731,0,1.72824707829494,0,0,0.478533332918545,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2904064528267,0,0,0,0,0,0,0,0,0,0,0,8.67966858914962,0,0,0,0,0,0,0,9.39987697556354,0,0.301765438648194,0,0,0,0,0.58370595957292,0.885347895927817,10.8199751776513,0,5.61104171806674,0,0,0,0,14.8066962817821,0,0,0,7.14667833465221,0,0,0,3.15522277225894,0.599219949379792,0,0,0,0,4.23919707711371,0,0,0,0,0,0,0
ENSMUSG00000033713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
