sample	label
hep1	0
hep2	0
hep3	0
hep4	0
hep5	0
hep6	0
hep7	0
hep8	0
hep9	0
hep10	0
hep11	0
hep12	0
hep13	0
hep14	0
hep15	0
hep16	0
hep17	0
hep18	0
hep19	0
hep20	0
hep21	0
hep22	0
hep23	0
hep24	0
hep25	0
hep26	0
hep27	0
hep28	0
hep29	0
hep30	0
hep31	0
hep32	0
hep33	0
hep34	0
hep35	0
hep36	0
hep37	0
hep38	0
hep39	0
hep40	0
hep41	0
hep42	0
hep43	0
hep44	0
hep45	0
hep46	0
hep47	0
hep48	0
hep49	0
hep50	0
endo1	1
endo2	1
endo3	1
endo4	1
endo5	1
endo6	1
endo7	1
endo8	1
endo9	1
endo10	1
endo11	1
endo12	1
endo13	1
endo14	1
endo15	1
endo16	1
endo17	1
endo18	1
endo19	1
endo20	1
endo21	1
endo22	1
endo23	1
endo24	1
endo25	1
endo26	1
endo27	1
endo28	1
endo29	1
endo30	1
endo31	1
endo32	1
endo33	1
endo34	1
endo35	1
endo36	1
endo37	1
endo38	1
endo39	1
endo40	1
endo41	1
endo42	1
endo43	1
endo44	1
endo45	1
endo46	1
endo47	1
endo48	1
endo49	1
endo50	1
