,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,17,5
ENSMUSG00000032228,14,2
ENSMUSG00000066551,8,7
ENSMUSG00000022952,7,5
ENSMUSG00000055320,7,10
ENSMUSG00000024238,5,1
ENSMUSG00000024420,5,5
ENSMUSG00000030557,5,5
ENSMUSG00000031627,5,2
ENSMUSG00000033713,5,1
ENSMUSG00000052534,5,13
ENSMUSG00000008398,4,1
ENSMUSG00000021972,4,1
ENSMUSG00000022601,4,8
ENSMUSG00000038718,4,1
ENSMUSG00000055799,4,11
ENSMUSG00000062991,4,7
ENSMUSG00000002265,2,5
ENSMUSG00000005566,2,6
ENSMUSG00000005698,2,5
ENSMUSG00000006932,2,3
ENSMUSG00000008575,2,5
ENSMUSG00000009079,2,2
ENSMUSG00000020919,2,1
ENSMUSG00000021127,2,1
ENSMUSG00000022811,2,3
ENSMUSG00000024498,2,1
ENSMUSG00000024949,2,4
ENSMUSG00000024985,2,6
ENSMUSG00000025529,2,1
ENSMUSG00000026349,2,0
ENSMUSG00000026872,2,5
ENSMUSG00000027868,2,5
ENSMUSG00000029705,2,2
ENSMUSG00000030067,2,5
ENSMUSG00000030199,2,11
ENSMUSG00000031681,2,6
ENSMUSG00000037608,2,2
ENSMUSG00000038535,2,3
ENSMUSG00000038872,2,13
ENSMUSG00000039087,2,8
ENSMUSG00000042496,2,8
ENSMUSG00000045333,2,11
ENSMUSG00000048410,2,1
ENSMUSG00000048897,2,5
ENSMUSG00000049606,2,1
ENSMUSG00000049878,2,1
ENSMUSG00000053110,2,2
ENSMUSG00000053477,2,5
ENSMUSG00000056758,2,4
ENSMUSG00000063524,2,3
ENSMUSG00000078671,2,3
ENSMUSG00000001517,1,1
ENSMUSG00000002147,1,1
ENSMUSG00000002393,1,7
ENSMUSG00000002428,1,1
ENSMUSG00000003051,1,0
ENSMUSG00000003184,1,0
ENSMUSG00000003282,1,2
ENSMUSG00000003929,1,0
ENSMUSG00000049577,1,20
ENSMUSG00000014592,1,18
ENSMUSG00000001911,0,14
ENSMUSG00000043456,0,12
ENSMUSG00000000282,0,11
ENSMUSG00000037992,1,11
ENSMUSG00000037465,0,10
ENSMUSG00000048402,0,10
ENSMUSG00000055053,0,10
ENSMUSG00000056493,0,10
ENSMUSG00000000247,0,8
ENSMUSG00000000317,0,8
ENSMUSG00000023781,0,8
ENSMUSG00000025407,0,8
ENSMUSG00000027544,1,8
ENSMUSG00000037868,0,8
ENSMUSG00000040270,1,8
ENSMUSG00000005836,1,7
ENSMUSG00000008976,0,7
ENSMUSG00000015619,0,7
ENSMUSG00000018983,0,7
ENSMUSG00000025959,0,7
ENSMUSG00000026628,1,7
ENSMUSG00000027230,0,7
ENSMUSG00000027985,1,7
ENSMUSG00000028163,1,7
ENSMUSG00000029697,0,7
ENSMUSG00000031737,0,7
ENSMUSG00000036867,0,7
ENSMUSG00000038615,1,7
ENSMUSG00000044303,0,7
ENSMUSG00000050100,0,7
ENSMUSG00000051910,0,7
ENSMUSG00000057098,0,7
ENSMUSG00000059824,0,7
ENSMUSG00000074622,0,7
ENSMUSG00000075595,1,7
ENSMUSG00000076431,0,7
ENSMUSG00000017491,0,6
ENSMUSG00000021944,0,6
ENSMUSG00000022485,0,6
ENSMUSG00000022528,0,6
ENSMUSG00000025025,0,6
ENSMUSG00000025223,1,6
ENSMUSG00000028736,0,6
ENSMUSG00000029178,0,6
