,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,14,2
ENSMUSG00000032228,3,0
ENSMUSG00000066551,2,1
ENSMUSG00000022952,1,14
ENSMUSG00000055320,3,16
ENSMUSG00000024238,14,0
ENSMUSG00000024420,0,0
ENSMUSG00000030557,4,0
ENSMUSG00000031627,0,0
ENSMUSG00000033713,1,2
ENSMUSG00000052534,2,1
ENSMUSG00000008398,1,2
ENSMUSG00000021972,0,2
ENSMUSG00000022601,1,0
ENSMUSG00000038718,7,0
ENSMUSG00000055799,2,16
ENSMUSG00000062991,5,14
ENSMUSG00000002265,7,0
ENSMUSG00000005566,2,14
ENSMUSG00000005698,0,0
ENSMUSG00000006932,0,0
ENSMUSG00000008575,0,2
ENSMUSG00000009079,1,0
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,0,0
ENSMUSG00000024498,2,2
ENSMUSG00000024949,2,0
ENSMUSG00000024985,1,2
ENSMUSG00000025529,3,0
ENSMUSG00000026349,2,2
ENSMUSG00000026872,0,0
ENSMUSG00000027868,0,1
ENSMUSG00000029705,3,0
ENSMUSG00000030067,1,14
ENSMUSG00000030199,3,2
ENSMUSG00000031681,0,2
ENSMUSG00000037608,1,0
ENSMUSG00000038535,1,0
ENSMUSG00000038872,3,14
ENSMUSG00000039087,1,2
ENSMUSG00000042496,0,2
ENSMUSG00000045333,0,14
ENSMUSG00000048410,2,0
ENSMUSG00000048897,6,0
ENSMUSG00000049606,0,1
ENSMUSG00000049878,1,0
ENSMUSG00000053110,2,0
ENSMUSG00000053477,1,14
ENSMUSG00000056758,2,14
ENSMUSG00000063524,1,14
ENSMUSG00000078671,1,2
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,1,0
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,2
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,0
ENSMUSG00000003929,0,2
ENSMUSG00000049577,0,13
ENSMUSG00000014592,1,14
ENSMUSG00000001911,0,14
ENSMUSG00000043456,0,2
ENSMUSG00000000282,1,14
ENSMUSG00000037992,2,13
ENSMUSG00000037465,0,14
ENSMUSG00000048402,0,14
ENSMUSG00000055053,0,0
ENSMUSG00000056493,0,16
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,14
ENSMUSG00000037868,0,14
ENSMUSG00000040270,1,14
ENSMUSG00000005836,2,0
ENSMUSG00000008976,1,0
ENSMUSG00000015619,0,0
ENSMUSG00000018983,1,16
ENSMUSG00000025959,5,2
ENSMUSG00000026628,0,16
ENSMUSG00000027230,1,1
ENSMUSG00000027985,0,0
ENSMUSG00000028163,0,2
ENSMUSG00000029697,0,1
ENSMUSG00000031737,0,0
ENSMUSG00000036867,0,14
ENSMUSG00000038615,0,0
ENSMUSG00000044303,0,14
ENSMUSG00000050100,0,1
ENSMUSG00000051910,0,14
ENSMUSG00000057098,0,14
ENSMUSG00000059824,0,2
ENSMUSG00000074622,0,2
ENSMUSG00000075595,0,14
ENSMUSG00000076431,1,1
ENSMUSG00000017491,0,2
ENSMUSG00000021944,0,14
ENSMUSG00000022485,0,2
ENSMUSG00000022528,2,1
ENSMUSG00000025025,0,14
ENSMUSG00000025223,1,1
ENSMUSG00000028736,0,2
ENSMUSG00000029178,0,14
