,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,11,18
ENSMUSG00000032228,7,10
ENSMUSG00000066551,6,0
ENSMUSG00000022952,0,10
ENSMUSG00000055320,2,1
ENSMUSG00000024238,11,0
ENSMUSG00000024420,1,0
ENSMUSG00000030557,4,0
ENSMUSG00000031627,3,10
ENSMUSG00000033713,7,10
ENSMUSG00000052534,3,10
ENSMUSG00000008398,4,10
ENSMUSG00000021972,1,18
ENSMUSG00000022601,1,0
ENSMUSG00000038718,4,1
ENSMUSG00000055799,0,0
ENSMUSG00000062991,1,0
ENSMUSG00000002265,6,10
ENSMUSG00000005566,2,13
ENSMUSG00000005698,1,0
ENSMUSG00000006932,4,0
ENSMUSG00000008575,8,15
ENSMUSG00000009079,2,0
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,18
ENSMUSG00000022811,2,0
ENSMUSG00000024498,2,0
ENSMUSG00000024949,1,18
ENSMUSG00000024985,3,1
ENSMUSG00000025529,3,0
ENSMUSG00000026349,1,0
ENSMUSG00000026872,4,18
ENSMUSG00000027868,0,0
ENSMUSG00000029705,3,10
ENSMUSG00000030067,4,1
ENSMUSG00000030199,7,0
ENSMUSG00000031681,2,0
ENSMUSG00000037608,2,10
ENSMUSG00000038535,3,0
ENSMUSG00000038872,3,13
ENSMUSG00000039087,3,0
ENSMUSG00000042496,0,0
ENSMUSG00000045333,1,18
ENSMUSG00000048410,7,10
ENSMUSG00000048897,1,18
ENSMUSG00000049606,2,0
ENSMUSG00000049878,2,0
ENSMUSG00000053110,1,10
ENSMUSG00000053477,8,0
ENSMUSG00000056758,3,0
ENSMUSG00000063524,6,0
ENSMUSG00000078671,1,10
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,1,10
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,1
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,10
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,18
ENSMUSG00000014592,1,18
ENSMUSG00000001911,0,18
ENSMUSG00000043456,0,10
ENSMUSG00000000282,0,10
ENSMUSG00000037992,1,13
ENSMUSG00000037465,1,10
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,10
ENSMUSG00000056493,1,10
ENSMUSG00000000247,0,18
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,1
ENSMUSG00000025407,1,0
ENSMUSG00000027544,0,10
ENSMUSG00000037868,0,1
ENSMUSG00000040270,0,18
ENSMUSG00000005836,0,0
ENSMUSG00000008976,1,0
ENSMUSG00000015619,1,10
ENSMUSG00000018983,0,10
ENSMUSG00000025959,1,18
ENSMUSG00000026628,0,18
ENSMUSG00000027230,1,10
ENSMUSG00000027985,4,0
ENSMUSG00000028163,1,1
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,13
ENSMUSG00000036867,1,0
ENSMUSG00000038615,0,10
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,1,0
ENSMUSG00000057098,1,10
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,0
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,10
ENSMUSG00000022485,0,0
ENSMUSG00000022528,3,0
ENSMUSG00000025025,1,0
ENSMUSG00000025223,1,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,2,1
