,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,9,0
ENSMUSG00000032228,15,0
ENSMUSG00000066551,3,8
ENSMUSG00000022952,0,12
ENSMUSG00000055320,5,19
ENSMUSG00000024238,12,2
ENSMUSG00000024420,3,4
ENSMUSG00000030557,6,8
ENSMUSG00000031627,1,5
ENSMUSG00000033713,5,8
ENSMUSG00000052534,2,0
ENSMUSG00000008398,5,5
ENSMUSG00000021972,6,0
ENSMUSG00000022601,0,3
ENSMUSG00000038718,6,12
ENSMUSG00000055799,0,8
ENSMUSG00000062991,1,0
ENSMUSG00000002265,2,12
ENSMUSG00000005566,1,4
ENSMUSG00000005698,2,2
ENSMUSG00000006932,0,2
ENSMUSG00000008575,5,12
ENSMUSG00000009079,2,0
ENSMUSG00000020919,1,0
ENSMUSG00000021127,0,0
ENSMUSG00000022811,2,2
ENSMUSG00000024498,1,2
ENSMUSG00000024949,0,4
ENSMUSG00000024985,1,12
ENSMUSG00000025529,3,0
ENSMUSG00000026349,2,2
ENSMUSG00000026872,1,1
ENSMUSG00000027868,0,0
ENSMUSG00000029705,5,2
ENSMUSG00000030067,2,2
ENSMUSG00000030199,13,0
ENSMUSG00000031681,0,8
ENSMUSG00000037608,2,4
ENSMUSG00000038535,3,2
ENSMUSG00000038872,3,17
ENSMUSG00000039087,2,2
ENSMUSG00000042496,0,5
ENSMUSG00000045333,2,2
ENSMUSG00000048410,3,2
ENSMUSG00000048897,2,2
ENSMUSG00000049606,1,3
ENSMUSG00000049878,1,4
ENSMUSG00000053110,1,2
ENSMUSG00000053477,12,5
ENSMUSG00000056758,10,5
ENSMUSG00000063524,6,2
ENSMUSG00000078671,5,1
ENSMUSG00000001517,0,4
ENSMUSG00000002147,0,0
ENSMUSG00000002393,1,0
ENSMUSG00000002428,3,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,1,0
ENSMUSG00000003282,0,4
ENSMUSG00000003929,0,0
ENSMUSG00000049577,2,8
ENSMUSG00000014592,0,17
ENSMUSG00000001911,0,13
ENSMUSG00000043456,0,13
ENSMUSG00000000282,1,8
ENSMUSG00000037992,0,2
ENSMUSG00000037465,1,8
ENSMUSG00000048402,0,4
ENSMUSG00000055053,0,1
ENSMUSG00000056493,0,8
ENSMUSG00000000247,0,8
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,4
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,0
ENSMUSG00000037868,0,2
ENSMUSG00000040270,3,18
ENSMUSG00000005836,0,2
ENSMUSG00000008976,0,5
ENSMUSG00000015619,0,8
ENSMUSG00000018983,0,2
ENSMUSG00000025959,2,8
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,4
ENSMUSG00000027985,1,1
ENSMUSG00000028163,0,1
ENSMUSG00000029697,0,2
ENSMUSG00000031737,0,2
ENSMUSG00000036867,0,8
ENSMUSG00000038615,0,5
ENSMUSG00000044303,0,8
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,5
ENSMUSG00000057098,0,3
ENSMUSG00000059824,0,2
ENSMUSG00000074622,0,3
ENSMUSG00000075595,0,12
ENSMUSG00000076431,0,8
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,0
ENSMUSG00000022485,0,8
ENSMUSG00000022528,0,2
ENSMUSG00000025025,0,4
ENSMUSG00000025223,1,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,8
