,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,19,6
ENSMUSG00000032228,8,0
ENSMUSG00000066551,5,0
ENSMUSG00000022952,0,7
ENSMUSG00000055320,5,10
ENSMUSG00000024238,10,1
ENSMUSG00000024420,1,4
ENSMUSG00000030557,2,7
ENSMUSG00000031627,1,1
ENSMUSG00000033713,9,16
ENSMUSG00000052534,5,7
ENSMUSG00000008398,9,4
ENSMUSG00000021972,2,0
ENSMUSG00000022601,2,0
ENSMUSG00000038718,2,1
ENSMUSG00000055799,2,7
ENSMUSG00000062991,7,6
ENSMUSG00000002265,2,4
ENSMUSG00000005566,1,4
ENSMUSG00000005698,1,0
ENSMUSG00000006932,3,2
ENSMUSG00000008575,1,10
ENSMUSG00000009079,2,4
ENSMUSG00000020919,1,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,1,0
ENSMUSG00000024498,2,2
ENSMUSG00000024949,1,2
ENSMUSG00000024985,1,4
ENSMUSG00000025529,6,0
ENSMUSG00000026349,2,2
ENSMUSG00000026872,9,4
ENSMUSG00000027868,0,1
ENSMUSG00000029705,1,2
ENSMUSG00000030067,1,7
ENSMUSG00000030199,2,7
ENSMUSG00000031681,1,1
ENSMUSG00000037608,5,1
ENSMUSG00000038535,1,0
ENSMUSG00000038872,1,10
ENSMUSG00000039087,2,6
ENSMUSG00000042496,1,1
ENSMUSG00000045333,1,12
ENSMUSG00000048410,1,1
ENSMUSG00000048897,1,2
ENSMUSG00000049606,1,1
ENSMUSG00000049878,0,1
ENSMUSG00000053110,1,2
ENSMUSG00000053477,1,14
ENSMUSG00000056758,5,4
ENSMUSG00000063524,6,2
ENSMUSG00000078671,1,2
ENSMUSG00000001517,1,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,1,4
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,1,0
ENSMUSG00000003282,0,1
ENSMUSG00000003929,1,2
ENSMUSG00000049577,1,15
ENSMUSG00000014592,0,14
ENSMUSG00000001911,0,7
ENSMUSG00000043456,0,6
ENSMUSG00000000282,0,7
ENSMUSG00000037992,0,7
ENSMUSG00000037465,0,4
ENSMUSG00000048402,0,2
ENSMUSG00000055053,0,4
ENSMUSG00000056493,0,14
ENSMUSG00000000247,0,1
ENSMUSG00000000317,0,2
ENSMUSG00000023781,0,2
ENSMUSG00000025407,0,2
ENSMUSG00000027544,0,0
ENSMUSG00000037868,0,1
ENSMUSG00000040270,2,7
ENSMUSG00000005836,2,7
ENSMUSG00000008976,1,0
ENSMUSG00000015619,0,4
ENSMUSG00000018983,0,1
ENSMUSG00000025959,2,6
ENSMUSG00000026628,0,7
ENSMUSG00000027230,0,7
ENSMUSG00000027985,1,1
ENSMUSG00000028163,1,0
ENSMUSG00000029697,0,4
ENSMUSG00000031737,0,1
ENSMUSG00000036867,2,7
ENSMUSG00000038615,2,4
ENSMUSG00000044303,0,2
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,6
ENSMUSG00000057098,1,1
ENSMUSG00000059824,0,2
ENSMUSG00000074622,0,2
ENSMUSG00000075595,1,2
ENSMUSG00000076431,2,1
ENSMUSG00000017491,0,4
ENSMUSG00000021944,0,4
ENSMUSG00000022485,0,2
ENSMUSG00000022528,1,7
ENSMUSG00000025025,0,4
ENSMUSG00000025223,1,6
ENSMUSG00000028736,0,4
ENSMUSG00000029178,1,1
