,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,9,9
ENSMUSG00000032228,3,6
ENSMUSG00000066551,3,4
ENSMUSG00000022952,0,3
ENSMUSG00000055320,0,1
ENSMUSG00000024238,3,0
ENSMUSG00000024420,0,1
ENSMUSG00000030557,1,4
ENSMUSG00000031627,1,1
ENSMUSG00000033713,3,4
ENSMUSG00000052534,7,4
ENSMUSG00000008398,1,4
ENSMUSG00000021972,1,4
ENSMUSG00000022601,1,1
ENSMUSG00000038718,2,0
ENSMUSG00000055799,0,10
ENSMUSG00000062991,11,15
ENSMUSG00000002265,3,1
ENSMUSG00000005566,1,3
ENSMUSG00000005698,1,0
ENSMUSG00000006932,1,0
ENSMUSG00000008575,2,4
ENSMUSG00000009079,3,4
ENSMUSG00000020919,1,0
ENSMUSG00000021127,1,1
ENSMUSG00000022811,1,1
ENSMUSG00000024498,1,3
ENSMUSG00000024949,1,4
ENSMUSG00000024985,2,1
ENSMUSG00000025529,3,1
ENSMUSG00000026349,1,0
ENSMUSG00000026872,3,4
ENSMUSG00000027868,0,0
ENSMUSG00000029705,1,4
ENSMUSG00000030067,1,3
ENSMUSG00000030199,2,6
ENSMUSG00000031681,1,6
ENSMUSG00000037608,3,0
ENSMUSG00000038535,3,1
ENSMUSG00000038872,1,19
ENSMUSG00000039087,1,4
ENSMUSG00000042496,3,4
ENSMUSG00000045333,1,9
ENSMUSG00000048410,1,1
ENSMUSG00000048897,1,4
ENSMUSG00000049606,0,0
ENSMUSG00000049878,1,4
ENSMUSG00000053110,0,1
ENSMUSG00000053477,6,10
ENSMUSG00000056758,2,0
ENSMUSG00000063524,2,3
ENSMUSG00000078671,0,1
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,1
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,4
ENSMUSG00000003929,1,1
ENSMUSG00000049577,1,13
ENSMUSG00000014592,0,6
ENSMUSG00000001911,0,4
ENSMUSG00000043456,0,6
ENSMUSG00000000282,0,4
ENSMUSG00000037992,0,10
ENSMUSG00000037465,0,6
ENSMUSG00000048402,0,4
ENSMUSG00000055053,0,9
ENSMUSG00000056493,0,6
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,1
ENSMUSG00000023781,0,1
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,1
ENSMUSG00000037868,0,1
ENSMUSG00000040270,0,6
ENSMUSG00000005836,0,0
ENSMUSG00000008976,0,3
ENSMUSG00000015619,0,10
ENSMUSG00000018983,0,1
ENSMUSG00000025959,3,9
ENSMUSG00000026628,0,1
ENSMUSG00000027230,0,0
ENSMUSG00000027985,1,1
ENSMUSG00000028163,1,6
ENSMUSG00000029697,0,4
ENSMUSG00000031737,0,4
ENSMUSG00000036867,0,6
ENSMUSG00000038615,1,4
ENSMUSG00000044303,0,6
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,3
ENSMUSG00000057098,0,1
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,1
ENSMUSG00000075595,0,3
ENSMUSG00000076431,1,1
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,3
ENSMUSG00000022485,0,4
ENSMUSG00000022528,1,6
ENSMUSG00000025025,1,4
ENSMUSG00000025223,0,1
ENSMUSG00000028736,0,1
ENSMUSG00000029178,2,4
