,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,7,0
ENSMUSG00000032228,8,0
ENSMUSG00000066551,2,17
ENSMUSG00000022952,0,2
ENSMUSG00000055320,7,13
ENSMUSG00000024238,6,0
ENSMUSG00000024420,2,0
ENSMUSG00000030557,2,1
ENSMUSG00000031627,2,17
ENSMUSG00000033713,10,2
ENSMUSG00000052534,2,13
ENSMUSG00000008398,2,0
ENSMUSG00000021972,2,0
ENSMUSG00000022601,2,0
ENSMUSG00000038718,12,0
ENSMUSG00000055799,6,0
ENSMUSG00000062991,0,17
ENSMUSG00000002265,1,0
ENSMUSG00000005566,2,0
ENSMUSG00000005698,1,2
ENSMUSG00000006932,2,2
ENSMUSG00000008575,2,13
ENSMUSG00000009079,1,0
ENSMUSG00000020919,1,2
ENSMUSG00000021127,0,0
ENSMUSG00000022811,2,0
ENSMUSG00000024498,2,0
ENSMUSG00000024949,1,0
ENSMUSG00000024985,2,2
ENSMUSG00000025529,1,0
ENSMUSG00000026349,1,0
ENSMUSG00000026872,2,0
ENSMUSG00000027868,0,0
ENSMUSG00000029705,1,0
ENSMUSG00000030067,1,0
ENSMUSG00000030199,7,0
ENSMUSG00000031681,1,0
ENSMUSG00000037608,1,0
ENSMUSG00000038535,2,17
ENSMUSG00000038872,1,1
ENSMUSG00000039087,2,1
ENSMUSG00000042496,1,0
ENSMUSG00000045333,0,2
ENSMUSG00000048410,2,0
ENSMUSG00000048897,2,1
ENSMUSG00000049606,1,2
ENSMUSG00000049878,1,0
ENSMUSG00000053110,1,0
ENSMUSG00000053477,15,17
ENSMUSG00000056758,8,0
ENSMUSG00000063524,2,1
ENSMUSG00000078671,0,2
ENSMUSG00000001517,1,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,1,0
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,2
ENSMUSG00000003184,0,0
ENSMUSG00000003282,1,0
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,1
ENSMUSG00000014592,0,17
ENSMUSG00000001911,0,2
ENSMUSG00000043456,0,0
ENSMUSG00000000282,0,2
ENSMUSG00000037992,0,17
ENSMUSG00000037465,0,0
ENSMUSG00000048402,0,1
ENSMUSG00000055053,0,0
ENSMUSG00000056493,0,2
ENSMUSG00000000247,0,17
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,0
ENSMUSG00000037868,0,0
ENSMUSG00000040270,1,0
ENSMUSG00000005836,0,0
ENSMUSG00000008976,1,0
ENSMUSG00000015619,0,0
ENSMUSG00000018983,0,0
ENSMUSG00000025959,8,0
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,2
ENSMUSG00000027985,0,0
ENSMUSG00000028163,2,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,17
ENSMUSG00000036867,0,0
ENSMUSG00000038615,0,0
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,1,0
ENSMUSG00000057098,0,2
ENSMUSG00000059824,0,17
ENSMUSG00000074622,0,1
ENSMUSG00000075595,0,2
ENSMUSG00000076431,1,2
ENSMUSG00000017491,0,17
ENSMUSG00000021944,0,2
ENSMUSG00000022485,0,2
ENSMUSG00000022528,1,0
ENSMUSG00000025025,0,2
ENSMUSG00000025223,0,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,2
