,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,4,1
ENSMUSG00000032228,3,1
ENSMUSG00000066551,1,5
ENSMUSG00000022952,1,2
ENSMUSG00000055320,4,11
ENSMUSG00000024238,5,1
ENSMUSG00000024420,3,2
ENSMUSG00000030557,6,0
ENSMUSG00000031627,1,5
ENSMUSG00000033713,9,8
ENSMUSG00000052534,4,9
ENSMUSG00000008398,1,5
ENSMUSG00000021972,1,2
ENSMUSG00000022601,1,4
ENSMUSG00000038718,1,2
ENSMUSG00000055799,1,4
ENSMUSG00000062991,1,2
ENSMUSG00000002265,3,0
ENSMUSG00000005566,3,1
ENSMUSG00000005698,1,1
ENSMUSG00000006932,1,2
ENSMUSG00000008575,1,7
ENSMUSG00000009079,1,0
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,2
ENSMUSG00000022811,3,0
ENSMUSG00000024498,6,0
ENSMUSG00000024949,1,1
ENSMUSG00000024985,5,2
ENSMUSG00000025529,3,0
ENSMUSG00000026349,3,1
ENSMUSG00000026872,1,4
ENSMUSG00000027868,0,4
ENSMUSG00000029705,1,1
ENSMUSG00000030067,1,10
ENSMUSG00000030199,4,2
ENSMUSG00000031681,1,2
ENSMUSG00000037608,4,1
ENSMUSG00000038535,1,0
ENSMUSG00000038872,0,2
ENSMUSG00000039087,1,8
ENSMUSG00000042496,1,5
ENSMUSG00000045333,1,17
ENSMUSG00000048410,3,1
ENSMUSG00000048897,1,2
ENSMUSG00000049606,3,0
ENSMUSG00000049878,0,0
ENSMUSG00000053110,1,1
ENSMUSG00000053477,13,1
ENSMUSG00000056758,9,1
ENSMUSG00000063524,4,7
ENSMUSG00000078671,0,0
ENSMUSG00000001517,0,1
ENSMUSG00000002147,0,1
ENSMUSG00000002393,1,4
ENSMUSG00000002428,3,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,2
ENSMUSG00000003929,1,0
ENSMUSG00000049577,0,14
ENSMUSG00000014592,1,20
ENSMUSG00000001911,0,8
ENSMUSG00000043456,0,1
ENSMUSG00000000282,0,7
ENSMUSG00000037992,1,11
ENSMUSG00000037465,0,1
ENSMUSG00000048402,0,1
ENSMUSG00000055053,0,2
ENSMUSG00000056493,0,10
ENSMUSG00000000247,0,2
ENSMUSG00000000317,0,2
ENSMUSG00000023781,0,4
ENSMUSG00000025407,0,4
ENSMUSG00000027544,0,7
ENSMUSG00000037868,0,2
ENSMUSG00000040270,1,14
ENSMUSG00000005836,0,0
ENSMUSG00000008976,0,0
ENSMUSG00000015619,1,10
ENSMUSG00000018983,0,5
ENSMUSG00000025959,1,2
ENSMUSG00000026628,1,7
ENSMUSG00000027230,0,8
ENSMUSG00000027985,1,1
ENSMUSG00000028163,1,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,5
ENSMUSG00000036867,1,16
ENSMUSG00000038615,1,5
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,2
ENSMUSG00000051910,0,1
ENSMUSG00000057098,0,4
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,1
ENSMUSG00000075595,1,2
ENSMUSG00000076431,1,6
ENSMUSG00000017491,0,5
ENSMUSG00000021944,0,1
ENSMUSG00000022485,0,2
ENSMUSG00000022528,0,6
ENSMUSG00000025025,0,8
ENSMUSG00000025223,0,5
ENSMUSG00000028736,0,5
ENSMUSG00000029178,1,6
