,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,2,2
ENSMUSG00000032228,11,0
ENSMUSG00000066551,1,3
ENSMUSG00000022952,0,0
ENSMUSG00000055320,4,3
ENSMUSG00000024238,4,0
ENSMUSG00000024420,2,0
ENSMUSG00000030557,2,0
ENSMUSG00000031627,3,12
ENSMUSG00000033713,6,13
ENSMUSG00000052534,1,2
ENSMUSG00000008398,1,0
ENSMUSG00000021972,3,2
ENSMUSG00000022601,0,2
ENSMUSG00000038718,0,2
ENSMUSG00000055799,1,0
ENSMUSG00000062991,0,5
ENSMUSG00000002265,1,1
ENSMUSG00000005566,1,5
ENSMUSG00000005698,0,0
ENSMUSG00000006932,1,3
ENSMUSG00000008575,2,5
ENSMUSG00000009079,0,1
ENSMUSG00000020919,1,0
ENSMUSG00000021127,0,0
ENSMUSG00000022811,1,6
ENSMUSG00000024498,2,5
ENSMUSG00000024949,1,2
ENSMUSG00000024985,3,6
ENSMUSG00000025529,0,0
ENSMUSG00000026349,1,2
ENSMUSG00000026872,3,0
ENSMUSG00000027868,0,1
ENSMUSG00000029705,2,2
ENSMUSG00000030067,1,6
ENSMUSG00000030199,4,0
ENSMUSG00000031681,1,1
ENSMUSG00000037608,1,0
ENSMUSG00000038535,2,0
ENSMUSG00000038872,1,13
ENSMUSG00000039087,3,2
ENSMUSG00000042496,1,1
ENSMUSG00000045333,1,13
ENSMUSG00000048410,2,2
ENSMUSG00000048897,1,0
ENSMUSG00000049606,2,2
ENSMUSG00000049878,0,2
ENSMUSG00000053110,2,2
ENSMUSG00000053477,4,0
ENSMUSG00000056758,4,0
ENSMUSG00000063524,2,0
ENSMUSG00000078671,0,0
ENSMUSG00000001517,0,2
ENSMUSG00000002147,0,2
ENSMUSG00000002393,0,0
ENSMUSG00000002428,0,2
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,5
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,2
ENSMUSG00000014592,3,2
ENSMUSG00000001911,0,2
ENSMUSG00000043456,0,0
ENSMUSG00000000282,0,3
ENSMUSG00000037992,0,15
ENSMUSG00000037465,0,5
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,2
ENSMUSG00000056493,0,13
ENSMUSG00000000247,0,1
ENSMUSG00000000317,0,2
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,1,0
ENSMUSG00000037868,0,0
ENSMUSG00000040270,0,5
ENSMUSG00000005836,0,0
ENSMUSG00000008976,1,3
ENSMUSG00000015619,1,2
ENSMUSG00000018983,0,0
ENSMUSG00000025959,1,13
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,2
ENSMUSG00000027985,4,0
ENSMUSG00000028163,2,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,0
ENSMUSG00000036867,1,5
ENSMUSG00000038615,1,2
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,2
ENSMUSG00000051910,0,0
ENSMUSG00000057098,0,6
ENSMUSG00000059824,0,2
ENSMUSG00000074622,0,2
ENSMUSG00000075595,1,0
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,2
ENSMUSG00000021944,0,6
ENSMUSG00000022485,0,13
ENSMUSG00000022528,0,1
ENSMUSG00000025025,1,5
ENSMUSG00000025223,1,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,2
