,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,20,0
ENSMUSG00000032228,19,1
ENSMUSG00000066551,2,0
ENSMUSG00000022952,0,4
ENSMUSG00000055320,2,4
ENSMUSG00000024238,8,0
ENSMUSG00000024420,5,4
ENSMUSG00000030557,15,4
ENSMUSG00000031627,1,0
ENSMUSG00000033713,8,1
ENSMUSG00000052534,12,8
ENSMUSG00000008398,2,2
ENSMUSG00000021972,10,2
ENSMUSG00000022601,6,2
ENSMUSG00000038718,6,0
ENSMUSG00000055799,5,2
ENSMUSG00000062991,1,6
ENSMUSG00000002265,1,0
ENSMUSG00000005566,1,4
ENSMUSG00000005698,1,1
ENSMUSG00000006932,1,0
ENSMUSG00000008575,2,4
ENSMUSG00000009079,1,1
ENSMUSG00000020919,2,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,5,0
ENSMUSG00000024498,2,2
ENSMUSG00000024949,1,2
ENSMUSG00000024985,2,6
ENSMUSG00000025529,2,0
ENSMUSG00000026349,0,4
ENSMUSG00000026872,6,6
ENSMUSG00000027868,0,2
ENSMUSG00000029705,2,4
ENSMUSG00000030067,1,1
ENSMUSG00000030199,9,7
ENSMUSG00000031681,0,2
ENSMUSG00000037608,0,4
ENSMUSG00000038535,10,0
ENSMUSG00000038872,1,7
ENSMUSG00000039087,1,2
ENSMUSG00000042496,2,8
ENSMUSG00000045333,2,7
ENSMUSG00000048410,9,2
ENSMUSG00000048897,2,7
ENSMUSG00000049606,1,1
ENSMUSG00000049878,1,0
ENSMUSG00000053110,2,4
ENSMUSG00000053477,12,8
ENSMUSG00000056758,7,2
ENSMUSG00000063524,2,1
ENSMUSG00000078671,2,4
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,2,1
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,1
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,14
ENSMUSG00000014592,1,15
ENSMUSG00000001911,0,14
ENSMUSG00000043456,0,1
ENSMUSG00000000282,0,10
ENSMUSG00000037992,0,2
ENSMUSG00000037465,0,8
ENSMUSG00000048402,0,4
ENSMUSG00000055053,0,1
ENSMUSG00000056493,1,4
ENSMUSG00000000247,0,7
ENSMUSG00000000317,1,1
ENSMUSG00000023781,0,4
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,2
ENSMUSG00000037868,0,0
ENSMUSG00000040270,2,8
ENSMUSG00000005836,1,2
ENSMUSG00000008976,0,0
ENSMUSG00000015619,0,8
ENSMUSG00000018983,0,4
ENSMUSG00000025959,2,2
ENSMUSG00000026628,0,4
ENSMUSG00000027230,0,4
ENSMUSG00000027985,1,0
ENSMUSG00000028163,1,1
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,1
ENSMUSG00000036867,0,8
ENSMUSG00000038615,2,4
ENSMUSG00000044303,0,1
ENSMUSG00000050100,0,6
ENSMUSG00000051910,1,1
ENSMUSG00000057098,1,1
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,2
ENSMUSG00000075595,1,2
ENSMUSG00000076431,0,2
ENSMUSG00000017491,1,6
ENSMUSG00000021944,1,7
ENSMUSG00000022485,0,2
ENSMUSG00000022528,0,2
ENSMUSG00000025025,0,4
ENSMUSG00000025223,0,2
ENSMUSG00000028736,0,1
ENSMUSG00000029178,1,2
