,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,5,2
ENSMUSG00000032228,9,2
ENSMUSG00000066551,4,14
ENSMUSG00000022952,4,4
ENSMUSG00000055320,5,6
ENSMUSG00000024238,2,0
ENSMUSG00000024420,4,0
ENSMUSG00000030557,4,0
ENSMUSG00000031627,1,0
ENSMUSG00000033713,4,12
ENSMUSG00000052534,4,12
ENSMUSG00000008398,7,1
ENSMUSG00000021972,2,3
ENSMUSG00000022601,2,1
ENSMUSG00000038718,4,2
ENSMUSG00000055799,0,2
ENSMUSG00000062991,11,2
ENSMUSG00000002265,0,4
ENSMUSG00000005566,2,12
ENSMUSG00000005698,1,4
ENSMUSG00000006932,2,3
ENSMUSG00000008575,4,12
ENSMUSG00000009079,1,0
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,2,0
ENSMUSG00000024498,6,0
ENSMUSG00000024949,1,2
ENSMUSG00000024985,4,12
ENSMUSG00000025529,2,2
ENSMUSG00000026349,1,2
ENSMUSG00000026872,5,4
ENSMUSG00000027868,0,0
ENSMUSG00000029705,1,3
ENSMUSG00000030067,4,2
ENSMUSG00000030199,5,12
ENSMUSG00000031681,0,2
ENSMUSG00000037608,1,4
ENSMUSG00000038535,5,2
ENSMUSG00000038872,0,3
ENSMUSG00000039087,1,14
ENSMUSG00000042496,0,4
ENSMUSG00000045333,0,12
ENSMUSG00000048410,6,2
ENSMUSG00000048897,1,14
ENSMUSG00000049606,1,0
ENSMUSG00000049878,0,2
ENSMUSG00000053110,0,1
ENSMUSG00000053477,10,1
ENSMUSG00000056758,16,3
ENSMUSG00000063524,4,0
ENSMUSG00000078671,1,2
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,1
ENSMUSG00000002393,0,0
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,1
ENSMUSG00000003282,0,4
ENSMUSG00000003929,1,0
ENSMUSG00000049577,1,12
ENSMUSG00000014592,4,12
ENSMUSG00000001911,0,12
ENSMUSG00000043456,0,2
ENSMUSG00000000282,1,12
ENSMUSG00000037992,0,4
ENSMUSG00000037465,0,1
ENSMUSG00000048402,0,2
ENSMUSG00000055053,0,2
ENSMUSG00000056493,1,2
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,2
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,4
ENSMUSG00000037868,0,12
ENSMUSG00000040270,2,12
ENSMUSG00000005836,1,3
ENSMUSG00000008976,1,0
ENSMUSG00000015619,0,1
ENSMUSG00000018983,1,0
ENSMUSG00000025959,2,12
ENSMUSG00000026628,0,6
ENSMUSG00000027230,0,4
ENSMUSG00000027985,0,0
ENSMUSG00000028163,1,2
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,0
ENSMUSG00000036867,0,2
ENSMUSG00000038615,1,0
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,2
ENSMUSG00000057098,1,0
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,6
ENSMUSG00000075595,2,0
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,2
ENSMUSG00000021944,0,2
ENSMUSG00000022485,0,2
ENSMUSG00000022528,0,2
ENSMUSG00000025025,1,2
ENSMUSG00000025223,0,0
ENSMUSG00000028736,0,1
ENSMUSG00000029178,2,0
