,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,7,5
ENSMUSG00000032228,2,2
ENSMUSG00000066551,7,2
ENSMUSG00000022952,0,0
ENSMUSG00000055320,7,5
ENSMUSG00000024238,12,0
ENSMUSG00000024420,2,2
ENSMUSG00000030557,4,0
ENSMUSG00000031627,3,5
ENSMUSG00000033713,3,2
ENSMUSG00000052534,1,2
ENSMUSG00000008398,5,12
ENSMUSG00000021972,4,0
ENSMUSG00000022601,3,0
ENSMUSG00000038718,6,0
ENSMUSG00000055799,0,8
ENSMUSG00000062991,4,2
ENSMUSG00000002265,11,4
ENSMUSG00000005566,2,3
ENSMUSG00000005698,2,2
ENSMUSG00000006932,2,4
ENSMUSG00000008575,3,4
ENSMUSG00000009079,1,8
ENSMUSG00000020919,1,1
ENSMUSG00000021127,1,1
ENSMUSG00000022811,1,0
ENSMUSG00000024498,1,2
ENSMUSG00000024949,1,0
ENSMUSG00000024985,2,3
ENSMUSG00000025529,1,2
ENSMUSG00000026349,2,4
ENSMUSG00000026872,6,0
ENSMUSG00000027868,0,0
ENSMUSG00000029705,4,4
ENSMUSG00000030067,0,15
ENSMUSG00000030199,3,12
ENSMUSG00000031681,1,2
ENSMUSG00000037608,0,2
ENSMUSG00000038535,4,0
ENSMUSG00000038872,2,3
ENSMUSG00000039087,1,4
ENSMUSG00000042496,1,4
ENSMUSG00000045333,1,8
ENSMUSG00000048410,4,0
ENSMUSG00000048897,1,0
ENSMUSG00000049606,1,2
ENSMUSG00000049878,2,2
ENSMUSG00000053110,1,0
ENSMUSG00000053477,5,2
ENSMUSG00000056758,1,2
ENSMUSG00000063524,6,2
ENSMUSG00000078671,1,0
ENSMUSG00000001517,0,2
ENSMUSG00000002147,0,2
ENSMUSG00000002393,1,2
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,3
ENSMUSG00000003282,0,0
ENSMUSG00000003929,0,1
ENSMUSG00000049577,1,4
ENSMUSG00000014592,1,3
ENSMUSG00000001911,0,4
ENSMUSG00000043456,0,2
ENSMUSG00000000282,0,4
ENSMUSG00000037992,0,3
ENSMUSG00000037465,1,0
ENSMUSG00000048402,0,0
ENSMUSG00000055053,1,8
ENSMUSG00000056493,1,2
ENSMUSG00000000247,0,3
ENSMUSG00000000317,2,0
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,4
ENSMUSG00000027544,0,5
ENSMUSG00000037868,0,0
ENSMUSG00000040270,1,4
ENSMUSG00000005836,1,0
ENSMUSG00000008976,1,2
ENSMUSG00000015619,1,4
ENSMUSG00000018983,0,0
ENSMUSG00000025959,1,12
ENSMUSG00000026628,0,2
ENSMUSG00000027230,0,2
ENSMUSG00000027985,1,1
ENSMUSG00000028163,2,2
ENSMUSG00000029697,0,0
ENSMUSG00000031737,1,2
ENSMUSG00000036867,0,0
ENSMUSG00000038615,1,4
ENSMUSG00000044303,1,2
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,2
ENSMUSG00000057098,0,1
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,2,3
ENSMUSG00000076431,1,2
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,2
ENSMUSG00000022485,0,1
ENSMUSG00000022528,1,1
ENSMUSG00000025025,0,12
ENSMUSG00000025223,0,4
ENSMUSG00000028736,0,0
ENSMUSG00000029178,0,8
