,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,1,0
ENSMUSG00000032228,8,0
ENSMUSG00000066551,3,19
ENSMUSG00000022952,0,2
ENSMUSG00000055320,5,19
ENSMUSG00000024238,1,0
ENSMUSG00000024420,1,2
ENSMUSG00000030557,5,0
ENSMUSG00000031627,0,0
ENSMUSG00000033713,8,2
ENSMUSG00000052534,4,2
ENSMUSG00000008398,1,2
ENSMUSG00000021972,1,14
ENSMUSG00000022601,1,0
ENSMUSG00000038718,4,0
ENSMUSG00000055799,1,2
ENSMUSG00000062991,0,2
ENSMUSG00000002265,1,2
ENSMUSG00000005566,1,0
ENSMUSG00000005698,1,0
ENSMUSG00000006932,3,0
ENSMUSG00000008575,5,0
ENSMUSG00000009079,1,19
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,4
ENSMUSG00000022811,1,0
ENSMUSG00000024498,4,0
ENSMUSG00000024949,1,0
ENSMUSG00000024985,1,0
ENSMUSG00000025529,1,0
ENSMUSG00000026349,0,0
ENSMUSG00000026872,5,2
ENSMUSG00000027868,0,0
ENSMUSG00000029705,3,19
ENSMUSG00000030067,0,2
ENSMUSG00000030199,12,19
ENSMUSG00000031681,0,0
ENSMUSG00000037608,4,2
ENSMUSG00000038535,1,0
ENSMUSG00000038872,1,2
ENSMUSG00000039087,0,0
ENSMUSG00000042496,0,0
ENSMUSG00000045333,5,1
ENSMUSG00000048410,1,19
ENSMUSG00000048897,0,0
ENSMUSG00000049606,0,0
ENSMUSG00000049878,1,2
ENSMUSG00000053110,0,2
ENSMUSG00000053477,8,0
ENSMUSG00000056758,19,2
ENSMUSG00000063524,8,19
ENSMUSG00000078671,1,4
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,2
ENSMUSG00000003282,0,19
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,19
ENSMUSG00000014592,1,14
ENSMUSG00000001911,0,19
ENSMUSG00000043456,0,2
ENSMUSG00000000282,0,4
ENSMUSG00000037992,0,19
ENSMUSG00000037465,0,14
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,2
ENSMUSG00000056493,1,0
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,0
ENSMUSG00000023781,1,0
ENSMUSG00000025407,0,2
ENSMUSG00000027544,0,1
ENSMUSG00000037868,0,2
ENSMUSG00000040270,0,19
ENSMUSG00000005836,1,2
ENSMUSG00000008976,1,0
ENSMUSG00000015619,1,2
ENSMUSG00000018983,0,0
ENSMUSG00000025959,1,0
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,19
ENSMUSG00000027985,1,0
ENSMUSG00000028163,0,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,4
ENSMUSG00000036867,9,19
ENSMUSG00000038615,0,17
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,4
ENSMUSG00000057098,0,2
ENSMUSG00000059824,0,19
ENSMUSG00000074622,0,0
ENSMUSG00000075595,0,0
ENSMUSG00000076431,3,2
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,2
ENSMUSG00000022485,0,0
ENSMUSG00000022528,1,2
ENSMUSG00000025025,1,0
ENSMUSG00000025223,1,19
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,1
