,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,13,0
ENSMUSG00000032228,7,0
ENSMUSG00000066551,3,0
ENSMUSG00000022952,0,18
ENSMUSG00000055320,3,18
ENSMUSG00000024238,8,0
ENSMUSG00000024420,1,20
ENSMUSG00000030557,3,0
ENSMUSG00000031627,1,18
ENSMUSG00000033713,5,18
ENSMUSG00000052534,5,18
ENSMUSG00000008398,1,0
ENSMUSG00000021972,1,18
ENSMUSG00000022601,1,0
ENSMUSG00000038718,5,0
ENSMUSG00000055799,7,0
ENSMUSG00000062991,10,0
ENSMUSG00000002265,3,0
ENSMUSG00000005566,1,20
ENSMUSG00000005698,0,0
ENSMUSG00000006932,3,0
ENSMUSG00000008575,3,12
ENSMUSG00000009079,1,0
ENSMUSG00000020919,0,18
ENSMUSG00000021127,1,0
ENSMUSG00000022811,1,0
ENSMUSG00000024498,0,0
ENSMUSG00000024949,1,18
ENSMUSG00000024985,0,20
ENSMUSG00000025529,3,0
ENSMUSG00000026349,1,0
ENSMUSG00000026872,3,1
ENSMUSG00000027868,1,0
ENSMUSG00000029705,1,0
ENSMUSG00000030067,1,0
ENSMUSG00000030199,1,18
ENSMUSG00000031681,1,0
ENSMUSG00000037608,3,1
ENSMUSG00000038535,1,0
ENSMUSG00000038872,0,0
ENSMUSG00000039087,0,1
ENSMUSG00000042496,0,20
ENSMUSG00000045333,1,0
ENSMUSG00000048410,3,0
ENSMUSG00000048897,0,0
ENSMUSG00000049606,1,0
ENSMUSG00000049878,1,0
ENSMUSG00000053110,0,18
ENSMUSG00000053477,6,0
ENSMUSG00000056758,1,0
ENSMUSG00000063524,1,0
ENSMUSG00000078671,1,18
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,1,18
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,0
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,18
ENSMUSG00000014592,0,18
ENSMUSG00000001911,0,0
ENSMUSG00000043456,0,0
ENSMUSG00000000282,0,18
ENSMUSG00000037992,0,1
ENSMUSG00000037465,0,18
ENSMUSG00000048402,1,20
ENSMUSG00000055053,0,18
ENSMUSG00000056493,0,0
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,18
ENSMUSG00000037868,0,0
ENSMUSG00000040270,6,18
ENSMUSG00000005836,0,0
ENSMUSG00000008976,1,0
ENSMUSG00000015619,0,0
ENSMUSG00000018983,0,0
ENSMUSG00000025959,4,1
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,18
ENSMUSG00000027985,0,0
ENSMUSG00000028163,3,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,0
ENSMUSG00000036867,0,0
ENSMUSG00000038615,0,0
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,20
ENSMUSG00000057098,1,18
ENSMUSG00000059824,0,18
ENSMUSG00000074622,0,0
ENSMUSG00000075595,0,0
ENSMUSG00000076431,0,0
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,0
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,0
ENSMUSG00000025025,0,16
ENSMUSG00000025223,1,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,0,1
