,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,16,3
ENSMUSG00000032228,7,4
ENSMUSG00000066551,5,9
ENSMUSG00000022952,0,9
ENSMUSG00000055320,5,16
ENSMUSG00000024238,13,4
ENSMUSG00000024420,3,3
ENSMUSG00000030557,3,4
ENSMUSG00000031627,1,1
ENSMUSG00000033713,5,8
ENSMUSG00000052534,1,7
ENSMUSG00000008398,4,4
ENSMUSG00000021972,1,1
ENSMUSG00000022601,1,3
ENSMUSG00000038718,1,6
ENSMUSG00000055799,3,8
ENSMUSG00000062991,4,2
ENSMUSG00000002265,3,4
ENSMUSG00000005566,1,6
ENSMUSG00000005698,1,1
ENSMUSG00000006932,1,1
ENSMUSG00000008575,5,10
ENSMUSG00000009079,0,1
ENSMUSG00000020919,0,2
ENSMUSG00000021127,1,1
ENSMUSG00000022811,3,1
ENSMUSG00000024498,5,2
ENSMUSG00000024949,0,2
ENSMUSG00000024985,0,11
ENSMUSG00000025529,7,1
ENSMUSG00000026349,1,1
ENSMUSG00000026872,7,3
ENSMUSG00000027868,0,1
ENSMUSG00000029705,2,4
ENSMUSG00000030067,5,9
ENSMUSG00000030199,7,6
ENSMUSG00000031681,1,1
ENSMUSG00000037608,4,2
ENSMUSG00000038535,4,1
ENSMUSG00000038872,0,12
ENSMUSG00000039087,3,2
ENSMUSG00000042496,0,3
ENSMUSG00000045333,0,13
ENSMUSG00000048410,5,4
ENSMUSG00000048897,1,3
ENSMUSG00000049606,3,2
ENSMUSG00000049878,3,0
ENSMUSG00000053110,1,2
ENSMUSG00000053477,10,13
ENSMUSG00000056758,5,4
ENSMUSG00000063524,6,1
ENSMUSG00000078671,0,1
ENSMUSG00000001517,1,1
ENSMUSG00000002147,0,1
ENSMUSG00000002393,0,1
ENSMUSG00000002428,0,1
ENSMUSG00000003051,0,4
ENSMUSG00000003184,0,0
ENSMUSG00000003282,1,4
ENSMUSG00000003929,1,0
ENSMUSG00000049577,1,12
ENSMUSG00000014592,2,17
ENSMUSG00000001911,0,10
ENSMUSG00000043456,0,8
ENSMUSG00000000282,0,6
ENSMUSG00000037992,0,11
ENSMUSG00000037465,1,2
ENSMUSG00000048402,0,3
ENSMUSG00000055053,0,5
ENSMUSG00000056493,0,5
ENSMUSG00000000247,0,1
ENSMUSG00000000317,0,2
ENSMUSG00000023781,0,2
ENSMUSG00000025407,0,4
ENSMUSG00000027544,0,2
ENSMUSG00000037868,0,4
ENSMUSG00000040270,3,11
ENSMUSG00000005836,0,3
ENSMUSG00000008976,0,2
ENSMUSG00000015619,0,10
ENSMUSG00000018983,0,1
ENSMUSG00000025959,6,7
ENSMUSG00000026628,0,5
ENSMUSG00000027230,0,3
ENSMUSG00000027985,0,2
ENSMUSG00000028163,0,4
ENSMUSG00000029697,0,2
ENSMUSG00000031737,0,3
ENSMUSG00000036867,0,9
ENSMUSG00000038615,1,1
ENSMUSG00000044303,0,1
ENSMUSG00000050100,0,0
ENSMUSG00000051910,1,4
ENSMUSG00000057098,1,10
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,3
ENSMUSG00000075595,1,7
ENSMUSG00000076431,0,1
ENSMUSG00000017491,0,8
ENSMUSG00000021944,0,1
ENSMUSG00000022485,0,4
ENSMUSG00000022528,0,6
ENSMUSG00000025025,0,10
ENSMUSG00000025223,1,6
ENSMUSG00000028736,0,1
ENSMUSG00000029178,1,2
