,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,6,0
ENSMUSG00000032228,16,0
ENSMUSG00000066551,2,18
ENSMUSG00000022952,0,5
ENSMUSG00000055320,3,0
ENSMUSG00000024238,13,0
ENSMUSG00000024420,8,18
ENSMUSG00000030557,4,0
ENSMUSG00000031627,3,0
ENSMUSG00000033713,2,5
ENSMUSG00000052534,4,10
ENSMUSG00000008398,6,0
ENSMUSG00000021972,1,5
ENSMUSG00000022601,1,0
ENSMUSG00000038718,12,0
ENSMUSG00000055799,3,0
ENSMUSG00000062991,0,5
ENSMUSG00000002265,0,0
ENSMUSG00000005566,1,5
ENSMUSG00000005698,3,0
ENSMUSG00000006932,2,0
ENSMUSG00000008575,4,5
ENSMUSG00000009079,2,0
ENSMUSG00000020919,0,0
ENSMUSG00000021127,0,5
ENSMUSG00000022811,2,5
ENSMUSG00000024498,1,0
ENSMUSG00000024949,1,1
ENSMUSG00000024985,2,0
ENSMUSG00000025529,2,0
ENSMUSG00000026349,0,0
ENSMUSG00000026872,12,0
ENSMUSG00000027868,0,5
ENSMUSG00000029705,1,5
ENSMUSG00000030067,5,0
ENSMUSG00000030199,13,10
ENSMUSG00000031681,0,5
ENSMUSG00000037608,1,1
ENSMUSG00000038535,6,0
ENSMUSG00000038872,1,18
ENSMUSG00000039087,2,0
ENSMUSG00000042496,1,0
ENSMUSG00000045333,1,5
ENSMUSG00000048410,3,0
ENSMUSG00000048897,0,0
ENSMUSG00000049606,4,0
ENSMUSG00000049878,2,0
ENSMUSG00000053110,2,0
ENSMUSG00000053477,4,5
ENSMUSG00000056758,3,0
ENSMUSG00000063524,4,0
ENSMUSG00000078671,1,0
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,5
ENSMUSG00000003282,1,5
ENSMUSG00000003929,1,0
ENSMUSG00000049577,1,5
ENSMUSG00000014592,0,13
ENSMUSG00000001911,0,18
ENSMUSG00000043456,0,5
ENSMUSG00000000282,0,5
ENSMUSG00000037992,0,5
ENSMUSG00000037465,0,13
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,0
ENSMUSG00000056493,0,5
ENSMUSG00000000247,0,5
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,5
ENSMUSG00000025407,0,0
ENSMUSG00000027544,1,0
ENSMUSG00000037868,0,0
ENSMUSG00000040270,1,0
ENSMUSG00000005836,1,0
ENSMUSG00000008976,0,5
ENSMUSG00000015619,0,13
ENSMUSG00000018983,0,0
ENSMUSG00000025959,4,0
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,1
ENSMUSG00000027985,0,0
ENSMUSG00000028163,1,1
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,0
ENSMUSG00000036867,0,1
ENSMUSG00000038615,1,0
ENSMUSG00000044303,1,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,0
ENSMUSG00000057098,1,1
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,5
ENSMUSG00000075595,1,0
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,0
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,0
ENSMUSG00000025025,0,0
ENSMUSG00000025223,0,1
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,18
