,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,7,15
ENSMUSG00000032228,7,0
ENSMUSG00000066551,1,9
ENSMUSG00000022952,0,0
ENSMUSG00000055320,4,0
ENSMUSG00000024238,5,1
ENSMUSG00000024420,1,0
ENSMUSG00000030557,1,0
ENSMUSG00000031627,1,0
ENSMUSG00000033713,8,15
ENSMUSG00000052534,4,15
ENSMUSG00000008398,3,15
ENSMUSG00000021972,5,0
ENSMUSG00000022601,0,0
ENSMUSG00000038718,0,9
ENSMUSG00000055799,1,0
ENSMUSG00000062991,12,0
ENSMUSG00000002265,1,0
ENSMUSG00000005566,1,15
ENSMUSG00000005698,1,0
ENSMUSG00000006932,4,0
ENSMUSG00000008575,5,9
ENSMUSG00000009079,1,0
ENSMUSG00000020919,1,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,0,15
ENSMUSG00000024498,1,0
ENSMUSG00000024949,1,0
ENSMUSG00000024985,1,0
ENSMUSG00000025529,3,0
ENSMUSG00000026349,1,0
ENSMUSG00000026872,3,0
ENSMUSG00000027868,0,12
ENSMUSG00000029705,1,0
ENSMUSG00000030067,1,15
ENSMUSG00000030199,5,1
ENSMUSG00000031681,1,9
ENSMUSG00000037608,1,15
ENSMUSG00000038535,0,15
ENSMUSG00000038872,1,15
ENSMUSG00000039087,5,0
ENSMUSG00000042496,3,0
ENSMUSG00000045333,3,15
ENSMUSG00000048410,1,0
ENSMUSG00000048897,1,0
ENSMUSG00000049606,1,0
ENSMUSG00000049878,1,15
ENSMUSG00000053110,3,0
ENSMUSG00000053477,12,9
ENSMUSG00000056758,7,0
ENSMUSG00000063524,3,15
ENSMUSG00000078671,3,0
ENSMUSG00000001517,0,1
ENSMUSG00000002147,1,0
ENSMUSG00000002393,0,15
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,15
ENSMUSG00000003184,0,0
ENSMUSG00000003282,3,9
ENSMUSG00000003929,1,0
ENSMUSG00000049577,0,1
ENSMUSG00000014592,0,20
ENSMUSG00000001911,0,15
ENSMUSG00000043456,0,15
ENSMUSG00000000282,0,15
ENSMUSG00000037992,1,0
ENSMUSG00000037465,0,0
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,1
ENSMUSG00000056493,1,0
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,9
ENSMUSG00000037868,0,15
ENSMUSG00000040270,1,0
ENSMUSG00000005836,0,0
ENSMUSG00000008976,0,0
ENSMUSG00000015619,1,1
ENSMUSG00000018983,1,0
ENSMUSG00000025959,1,15
ENSMUSG00000026628,0,15
ENSMUSG00000027230,0,0
ENSMUSG00000027985,1,0
ENSMUSG00000028163,4,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,0
ENSMUSG00000036867,1,9
ENSMUSG00000038615,1,0
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,1
ENSMUSG00000051910,1,15
ENSMUSG00000057098,1,0
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,15
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,15
ENSMUSG00000021944,1,15
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,0
ENSMUSG00000025025,1,0
ENSMUSG00000025223,1,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,15
