,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,6,4
ENSMUSG00000032228,6,2
ENSMUSG00000066551,2,1
ENSMUSG00000022952,8,14
ENSMUSG00000055320,1,4
ENSMUSG00000024238,1,0
ENSMUSG00000024420,6,0
ENSMUSG00000030557,1,0
ENSMUSG00000031627,1,2
ENSMUSG00000033713,2,5
ENSMUSG00000052534,5,7
ENSMUSG00000008398,4,5
ENSMUSG00000021972,1,6
ENSMUSG00000022601,1,5
ENSMUSG00000038718,2,1
ENSMUSG00000055799,0,1
ENSMUSG00000062991,16,2
ENSMUSG00000002265,1,2
ENSMUSG00000005566,2,1
ENSMUSG00000005698,1,2
ENSMUSG00000006932,2,1
ENSMUSG00000008575,5,12
ENSMUSG00000009079,2,2
ENSMUSG00000020919,1,0
ENSMUSG00000021127,1,1
ENSMUSG00000022811,2,1
ENSMUSG00000024498,1,0
ENSMUSG00000024949,2,1
ENSMUSG00000024985,4,1
ENSMUSG00000025529,2,1
ENSMUSG00000026349,0,2
ENSMUSG00000026872,10,6
ENSMUSG00000027868,0,0
ENSMUSG00000029705,2,2
ENSMUSG00000030067,4,2
ENSMUSG00000030199,9,10
ENSMUSG00000031681,1,1
ENSMUSG00000037608,3,1
ENSMUSG00000038535,1,0
ENSMUSG00000038872,4,10
ENSMUSG00000039087,2,2
ENSMUSG00000042496,1,2
ENSMUSG00000045333,0,1
ENSMUSG00000048410,2,0
ENSMUSG00000048897,2,10
ENSMUSG00000049606,0,1
ENSMUSG00000049878,1,2
ENSMUSG00000053110,2,1
ENSMUSG00000053477,3,0
ENSMUSG00000056758,3,1
ENSMUSG00000063524,1,0
ENSMUSG00000078671,3,0
ENSMUSG00000001517,0,2
ENSMUSG00000002147,0,1
ENSMUSG00000002393,0,6
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,1
ENSMUSG00000003282,1,5
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,12
ENSMUSG00000014592,1,16
ENSMUSG00000001911,0,1
ENSMUSG00000043456,0,2
ENSMUSG00000000282,1,2
ENSMUSG00000037992,1,10
ENSMUSG00000037465,0,0
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,6
ENSMUSG00000056493,0,7
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,7
ENSMUSG00000023781,0,5
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,5
ENSMUSG00000037868,0,0
ENSMUSG00000040270,1,7
ENSMUSG00000005836,0,1
ENSMUSG00000008976,1,2
ENSMUSG00000015619,0,2
ENSMUSG00000018983,0,7
ENSMUSG00000025959,3,4
ENSMUSG00000026628,0,2
ENSMUSG00000027230,0,2
ENSMUSG00000027985,0,0
ENSMUSG00000028163,1,2
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,1
ENSMUSG00000036867,1,2
ENSMUSG00000038615,0,4
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,1,4
ENSMUSG00000057098,0,2
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,0
ENSMUSG00000075595,4,1
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,7
ENSMUSG00000021944,0,7
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,0
ENSMUSG00000025025,0,2
ENSMUSG00000025223,0,2
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,5
