,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,14,7
ENSMUSG00000032228,1,3
ENSMUSG00000066551,6,6
ENSMUSG00000022952,0,11
ENSMUSG00000055320,1,8
ENSMUSG00000024238,6,0
ENSMUSG00000024420,1,4
ENSMUSG00000030557,0,4
ENSMUSG00000031627,2,8
ENSMUSG00000033713,1,8
ENSMUSG00000052534,0,7
ENSMUSG00000008398,2,4
ENSMUSG00000021972,0,5
ENSMUSG00000022601,1,0
ENSMUSG00000038718,2,4
ENSMUSG00000055799,1,5
ENSMUSG00000062991,0,5
ENSMUSG00000002265,2,3
ENSMUSG00000005566,2,1
ENSMUSG00000005698,1,1
ENSMUSG00000006932,2,5
ENSMUSG00000008575,0,8
ENSMUSG00000009079,2,1
ENSMUSG00000020919,1,6
ENSMUSG00000021127,2,1
ENSMUSG00000022811,2,1
ENSMUSG00000024498,1,0
ENSMUSG00000024949,1,5
ENSMUSG00000024985,2,9
ENSMUSG00000025529,0,1
ENSMUSG00000026349,2,4
ENSMUSG00000026872,0,4
ENSMUSG00000027868,0,5
ENSMUSG00000029705,1,1
ENSMUSG00000030067,1,14
ENSMUSG00000030199,5,9
ENSMUSG00000031681,0,4
ENSMUSG00000037608,2,4
ENSMUSG00000038535,2,1
ENSMUSG00000038872,0,19
ENSMUSG00000039087,2,8
ENSMUSG00000042496,1,1
ENSMUSG00000045333,0,8
ENSMUSG00000048410,1,4
ENSMUSG00000048897,0,4
ENSMUSG00000049606,2,3
ENSMUSG00000049878,2,1
ENSMUSG00000053110,1,6
ENSMUSG00000053477,0,7
ENSMUSG00000056758,0,4
ENSMUSG00000063524,1,4
ENSMUSG00000078671,0,5
ENSMUSG00000001517,0,1
ENSMUSG00000002147,0,1
ENSMUSG00000002393,0,1
ENSMUSG00000002428,0,1
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,1
ENSMUSG00000003282,0,4
ENSMUSG00000003929,0,3
ENSMUSG00000049577,1,8
ENSMUSG00000014592,2,17
ENSMUSG00000001911,0,7
ENSMUSG00000043456,0,6
ENSMUSG00000000282,0,5
ENSMUSG00000037992,0,16
ENSMUSG00000037465,0,3
ENSMUSG00000048402,0,7
ENSMUSG00000055053,0,12
ENSMUSG00000056493,1,10
ENSMUSG00000000247,0,0
ENSMUSG00000000317,1,3
ENSMUSG00000023781,0,9
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,4
ENSMUSG00000037868,0,5
ENSMUSG00000040270,0,10
ENSMUSG00000005836,1,1
ENSMUSG00000008976,1,5
ENSMUSG00000015619,0,8
ENSMUSG00000018983,0,0
ENSMUSG00000025959,1,11
ENSMUSG00000026628,0,4
ENSMUSG00000027230,0,5
ENSMUSG00000027985,0,5
ENSMUSG00000028163,0,3
ENSMUSG00000029697,0,1
ENSMUSG00000031737,0,7
ENSMUSG00000036867,0,3
ENSMUSG00000038615,2,5
ENSMUSG00000044303,0,1
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,7
ENSMUSG00000057098,0,14
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,1
ENSMUSG00000075595,0,4
ENSMUSG00000076431,0,7
ENSMUSG00000017491,0,13
ENSMUSG00000021944,0,9
ENSMUSG00000022485,0,4
ENSMUSG00000022528,0,8
ENSMUSG00000025025,0,3
ENSMUSG00000025223,1,3
ENSMUSG00000028736,0,5
ENSMUSG00000029178,2,8
