,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,5,0
ENSMUSG00000032228,15,0
ENSMUSG00000066551,1,14
ENSMUSG00000022952,2,0
ENSMUSG00000055320,2,0
ENSMUSG00000024238,2,0
ENSMUSG00000024420,1,0
ENSMUSG00000030557,2,0
ENSMUSG00000031627,1,14
ENSMUSG00000033713,3,1
ENSMUSG00000052534,1,0
ENSMUSG00000008398,3,0
ENSMUSG00000021972,1,18
ENSMUSG00000022601,0,0
ENSMUSG00000038718,1,18
ENSMUSG00000055799,2,0
ENSMUSG00000062991,5,0
ENSMUSG00000002265,5,14
ENSMUSG00000005566,1,18
ENSMUSG00000005698,1,18
ENSMUSG00000006932,1,0
ENSMUSG00000008575,10,18
ENSMUSG00000009079,1,1
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,1,18
ENSMUSG00000024498,2,0
ENSMUSG00000024949,1,0
ENSMUSG00000024985,2,0
ENSMUSG00000025529,1,0
ENSMUSG00000026349,1,18
ENSMUSG00000026872,1,0
ENSMUSG00000027868,1,0
ENSMUSG00000029705,2,18
ENSMUSG00000030067,1,0
ENSMUSG00000030199,3,0
ENSMUSG00000031681,0,0
ENSMUSG00000037608,4,0
ENSMUSG00000038535,3,0
ENSMUSG00000038872,1,18
ENSMUSG00000039087,1,0
ENSMUSG00000042496,0,0
ENSMUSG00000045333,0,0
ENSMUSG00000048410,3,0
ENSMUSG00000048897,1,0
ENSMUSG00000049606,1,0
ENSMUSG00000049878,1,0
ENSMUSG00000053110,1,1
ENSMUSG00000053477,3,0
ENSMUSG00000056758,1,1
ENSMUSG00000063524,5,0
ENSMUSG00000078671,1,0
ENSMUSG00000001517,0,18
ENSMUSG00000002147,1,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,14
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,1
ENSMUSG00000014592,0,18
ENSMUSG00000001911,1,1
ENSMUSG00000043456,0,18
ENSMUSG00000000282,0,0
ENSMUSG00000037992,0,0
ENSMUSG00000037465,0,12
ENSMUSG00000048402,0,18
ENSMUSG00000055053,0,14
ENSMUSG00000056493,0,18
ENSMUSG00000000247,0,0
ENSMUSG00000000317,1,18
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,0
ENSMUSG00000037868,0,0
ENSMUSG00000040270,1,1
ENSMUSG00000005836,0,0
ENSMUSG00000008976,0,18
ENSMUSG00000015619,3,0
ENSMUSG00000018983,0,0
ENSMUSG00000025959,3,18
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,0
ENSMUSG00000027985,0,0
ENSMUSG00000028163,1,18
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,1
ENSMUSG00000036867,1,0
ENSMUSG00000038615,1,0
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,14
ENSMUSG00000057098,0,18
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,18
ENSMUSG00000076431,1,0
ENSMUSG00000017491,1,0
ENSMUSG00000021944,0,0
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,0
ENSMUSG00000025025,0,18
ENSMUSG00000025223,1,14
ENSMUSG00000028736,0,0
ENSMUSG00000029178,0,0
