,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,2,2
ENSMUSG00000032228,2,0
ENSMUSG00000066551,3,8
ENSMUSG00000022952,4,8
ENSMUSG00000055320,1,0
ENSMUSG00000024238,0,1
ENSMUSG00000024420,2,4
ENSMUSG00000030557,0,1
ENSMUSG00000031627,0,7
ENSMUSG00000033713,2,8
ENSMUSG00000052534,8,2
ENSMUSG00000008398,0,0
ENSMUSG00000021972,1,2
ENSMUSG00000022601,1,4
ENSMUSG00000038718,1,2
ENSMUSG00000055799,0,5
ENSMUSG00000062991,1,6
ENSMUSG00000002265,1,2
ENSMUSG00000005566,2,1
ENSMUSG00000005698,2,4
ENSMUSG00000006932,2,1
ENSMUSG00000008575,0,9
ENSMUSG00000009079,1,4
ENSMUSG00000020919,1,0
ENSMUSG00000021127,0,4
ENSMUSG00000022811,1,1
ENSMUSG00000024498,1,1
ENSMUSG00000024949,1,2
ENSMUSG00000024985,0,6
ENSMUSG00000025529,1,1
ENSMUSG00000026349,1,2
ENSMUSG00000026872,2,7
ENSMUSG00000027868,0,1
ENSMUSG00000029705,0,4
ENSMUSG00000030067,0,2
ENSMUSG00000030199,3,6
ENSMUSG00000031681,1,4
ENSMUSG00000037608,2,0
ENSMUSG00000038535,2,0
ENSMUSG00000038872,0,7
ENSMUSG00000039087,2,4
ENSMUSG00000042496,0,0
ENSMUSG00000045333,0,14
ENSMUSG00000048410,1,1
ENSMUSG00000048897,1,1
ENSMUSG00000049606,2,0
ENSMUSG00000049878,2,2
ENSMUSG00000053110,0,0
ENSMUSG00000053477,2,2
ENSMUSG00000056758,2,2
ENSMUSG00000063524,6,1
ENSMUSG00000078671,1,2
ENSMUSG00000001517,1,0
ENSMUSG00000002147,0,2
ENSMUSG00000002393,0,4
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,1
ENSMUSG00000003282,1,2
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,15
ENSMUSG00000014592,0,16
ENSMUSG00000001911,0,6
ENSMUSG00000043456,0,2
ENSMUSG00000000282,0,4
ENSMUSG00000037992,0,8
ENSMUSG00000037465,0,8
ENSMUSG00000048402,1,0
ENSMUSG00000055053,0,4
ENSMUSG00000056493,0,11
ENSMUSG00000000247,0,1
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,1
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,4
ENSMUSG00000037868,0,1
ENSMUSG00000040270,0,7
ENSMUSG00000005836,0,2
ENSMUSG00000008976,0,4
ENSMUSG00000015619,0,4
ENSMUSG00000018983,0,2
ENSMUSG00000025959,1,8
ENSMUSG00000026628,0,4
ENSMUSG00000027230,0,2
ENSMUSG00000027985,0,2
ENSMUSG00000028163,0,2
ENSMUSG00000029697,0,1
ENSMUSG00000031737,0,1
ENSMUSG00000036867,1,5
ENSMUSG00000038615,0,4
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,2
ENSMUSG00000057098,1,6
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,2
ENSMUSG00000076431,1,2
ENSMUSG00000017491,0,1
ENSMUSG00000021944,0,1
ENSMUSG00000022485,0,2
ENSMUSG00000022528,0,1
ENSMUSG00000025025,1,4
ENSMUSG00000025223,0,1
ENSMUSG00000028736,0,1
ENSMUSG00000029178,0,2
