,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,20,1
ENSMUSG00000032228,10,1
ENSMUSG00000066551,3,1
ENSMUSG00000022952,0,5
ENSMUSG00000055320,3,0
ENSMUSG00000024238,20,3
ENSMUSG00000024420,0,3
ENSMUSG00000030557,16,1
ENSMUSG00000031627,1,1
ENSMUSG00000033713,1,5
ENSMUSG00000052534,10,7
ENSMUSG00000008398,10,3
ENSMUSG00000021972,3,5
ENSMUSG00000022601,3,1
ENSMUSG00000038718,10,10
ENSMUSG00000055799,15,0
ENSMUSG00000062991,1,8
ENSMUSG00000002265,10,0
ENSMUSG00000005566,0,7
ENSMUSG00000005698,1,1
ENSMUSG00000006932,1,5
ENSMUSG00000008575,10,10
ENSMUSG00000009079,2,1
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,1
ENSMUSG00000022811,3,1
ENSMUSG00000024498,10,0
ENSMUSG00000024949,0,3
ENSMUSG00000024985,1,7
ENSMUSG00000025529,0,0
ENSMUSG00000026349,0,0
ENSMUSG00000026872,1,0
ENSMUSG00000027868,0,1
ENSMUSG00000029705,3,1
ENSMUSG00000030067,1,8
ENSMUSG00000030199,12,4
ENSMUSG00000031681,0,7
ENSMUSG00000037608,0,0
ENSMUSG00000038535,3,0
ENSMUSG00000038872,0,5
ENSMUSG00000039087,2,3
ENSMUSG00000042496,0,1
ENSMUSG00000045333,1,16
ENSMUSG00000048410,3,1
ENSMUSG00000048897,1,1
ENSMUSG00000049606,10,0
ENSMUSG00000049878,0,1
ENSMUSG00000053110,0,0
ENSMUSG00000053477,10,3
ENSMUSG00000056758,10,1
ENSMUSG00000063524,0,1
ENSMUSG00000078671,2,1
ENSMUSG00000001517,0,1
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,1
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,1
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,0
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,10
ENSMUSG00000014592,1,20
ENSMUSG00000001911,0,13
ENSMUSG00000043456,0,3
ENSMUSG00000000282,0,5
ENSMUSG00000037992,0,10
ENSMUSG00000037465,0,0
ENSMUSG00000048402,0,5
ENSMUSG00000055053,0,4
ENSMUSG00000056493,3,1
ENSMUSG00000000247,0,3
ENSMUSG00000000317,0,5
ENSMUSG00000023781,0,1
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,5
ENSMUSG00000037868,0,5
ENSMUSG00000040270,0,7
ENSMUSG00000005836,0,0
ENSMUSG00000008976,1,0
ENSMUSG00000015619,0,7
ENSMUSG00000018983,0,5
ENSMUSG00000025959,10,1
ENSMUSG00000026628,0,0
ENSMUSG00000027230,1,1
ENSMUSG00000027985,0,1
ENSMUSG00000028163,2,7
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,1
ENSMUSG00000036867,0,1
ENSMUSG00000038615,0,3
ENSMUSG00000044303,0,1
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,5
ENSMUSG00000057098,0,1
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,1
ENSMUSG00000075595,1,10
ENSMUSG00000076431,0,3
ENSMUSG00000017491,2,3
ENSMUSG00000021944,0,1
ENSMUSG00000022485,0,5
ENSMUSG00000022528,0,1
ENSMUSG00000025025,0,3
ENSMUSG00000025223,0,7
ENSMUSG00000028736,0,5
ENSMUSG00000029178,0,5
