,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,17,1
ENSMUSG00000032228,8,1
ENSMUSG00000066551,3,5
ENSMUSG00000022952,0,5
ENSMUSG00000055320,6,14
ENSMUSG00000024238,20,3
ENSMUSG00000024420,1,8
ENSMUSG00000030557,4,1
ENSMUSG00000031627,4,3
ENSMUSG00000033713,4,7
ENSMUSG00000052534,3,8
ENSMUSG00000008398,3,1
ENSMUSG00000021972,2,1
ENSMUSG00000022601,0,1
ENSMUSG00000038718,3,3
ENSMUSG00000055799,3,8
ENSMUSG00000062991,12,5
ENSMUSG00000002265,4,1
ENSMUSG00000005566,2,5
ENSMUSG00000005698,1,1
ENSMUSG00000006932,1,3
ENSMUSG00000008575,3,8
ENSMUSG00000009079,1,3
ENSMUSG00000020919,1,0
ENSMUSG00000021127,1,1
ENSMUSG00000022811,4,5
ENSMUSG00000024498,3,3
ENSMUSG00000024949,1,1
ENSMUSG00000024985,3,5
ENSMUSG00000025529,3,4
ENSMUSG00000026349,2,0
ENSMUSG00000026872,4,1
ENSMUSG00000027868,0,3
ENSMUSG00000029705,3,3
ENSMUSG00000030067,2,8
ENSMUSG00000030199,2,8
ENSMUSG00000031681,2,5
ENSMUSG00000037608,4,0
ENSMUSG00000038535,4,1
ENSMUSG00000038872,1,16
ENSMUSG00000039087,3,5
ENSMUSG00000042496,0,7
ENSMUSG00000045333,1,8
ENSMUSG00000048410,5,5
ENSMUSG00000048897,1,9
ENSMUSG00000049606,1,1
ENSMUSG00000049878,3,3
ENSMUSG00000053110,1,3
ENSMUSG00000053477,2,5
ENSMUSG00000056758,2,5
ENSMUSG00000063524,5,5
ENSMUSG00000078671,4,1
ENSMUSG00000001517,0,1
ENSMUSG00000002147,1,0
ENSMUSG00000002393,0,3
ENSMUSG00000002428,1,1
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,1
ENSMUSG00000003282,0,0
ENSMUSG00000003929,1,0
ENSMUSG00000049577,1,9
ENSMUSG00000014592,1,9
ENSMUSG00000001911,0,15
ENSMUSG00000043456,0,1
ENSMUSG00000000282,1,9
ENSMUSG00000037992,0,8
ENSMUSG00000037465,1,5
ENSMUSG00000048402,0,8
ENSMUSG00000055053,0,8
ENSMUSG00000056493,1,7
ENSMUSG00000000247,1,5
ENSMUSG00000000317,1,5
ENSMUSG00000023781,0,9
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,8
ENSMUSG00000037868,0,1
ENSMUSG00000040270,2,7
ENSMUSG00000005836,1,7
ENSMUSG00000008976,0,1
ENSMUSG00000015619,0,8
ENSMUSG00000018983,0,5
ENSMUSG00000025959,4,14
ENSMUSG00000026628,0,3
ENSMUSG00000027230,0,5
ENSMUSG00000027985,0,1
ENSMUSG00000028163,2,4
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,1
ENSMUSG00000036867,1,5
ENSMUSG00000038615,1,1
ENSMUSG00000044303,0,3
ENSMUSG00000050100,0,3
ENSMUSG00000051910,1,7
ENSMUSG00000057098,1,4
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,5
ENSMUSG00000075595,1,9
ENSMUSG00000076431,1,1
ENSMUSG00000017491,0,1
ENSMUSG00000021944,0,1
ENSMUSG00000022485,0,3
ENSMUSG00000022528,0,5
ENSMUSG00000025025,0,7
ENSMUSG00000025223,0,8
ENSMUSG00000028736,1,1
ENSMUSG00000029178,1,3
