,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,20,15
ENSMUSG00000032228,10,2
ENSMUSG00000066551,3,1
ENSMUSG00000022952,0,2
ENSMUSG00000055320,7,2
ENSMUSG00000024238,9,1
ENSMUSG00000024420,7,0
ENSMUSG00000030557,4,0
ENSMUSG00000031627,2,4
ENSMUSG00000033713,5,2
ENSMUSG00000052534,13,15
ENSMUSG00000008398,1,0
ENSMUSG00000021972,1,15
ENSMUSG00000022601,1,4
ENSMUSG00000038718,3,2
ENSMUSG00000055799,3,15
ENSMUSG00000062991,5,15
ENSMUSG00000002265,4,0
ENSMUSG00000005566,1,0
ENSMUSG00000005698,1,0
ENSMUSG00000006932,1,1
ENSMUSG00000008575,3,15
ENSMUSG00000009079,2,0
ENSMUSG00000020919,1,2
ENSMUSG00000021127,1,2
ENSMUSG00000022811,1,2
ENSMUSG00000024498,3,0
ENSMUSG00000024949,1,0
ENSMUSG00000024985,3,1
ENSMUSG00000025529,5,0
ENSMUSG00000026349,3,2
ENSMUSG00000026872,2,2
ENSMUSG00000027868,0,0
ENSMUSG00000029705,4,0
ENSMUSG00000030067,4,2
ENSMUSG00000030199,3,15
ENSMUSG00000031681,1,4
ENSMUSG00000037608,3,0
ENSMUSG00000038535,4,0
ENSMUSG00000038872,4,15
ENSMUSG00000039087,4,1
ENSMUSG00000042496,0,9
ENSMUSG00000045333,1,15
ENSMUSG00000048410,3,2
ENSMUSG00000048897,5,15
ENSMUSG00000049606,2,4
ENSMUSG00000049878,3,0
ENSMUSG00000053110,1,15
ENSMUSG00000053477,11,4
ENSMUSG00000056758,3,15
ENSMUSG00000063524,5,2
ENSMUSG00000078671,2,2
ENSMUSG00000001517,1,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,1,15
ENSMUSG00000002428,2,15
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,1,0
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,4
ENSMUSG00000014592,1,15
ENSMUSG00000001911,0,2
ENSMUSG00000043456,0,0
ENSMUSG00000000282,0,2
ENSMUSG00000037992,1,9
ENSMUSG00000037465,0,19
ENSMUSG00000048402,0,2
ENSMUSG00000055053,1,2
ENSMUSG00000056493,1,9
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,4
ENSMUSG00000023781,0,2
ENSMUSG00000025407,0,4
ENSMUSG00000027544,0,15
ENSMUSG00000037868,0,2
ENSMUSG00000040270,1,2
ENSMUSG00000005836,1,0
ENSMUSG00000008976,1,0
ENSMUSG00000015619,1,0
ENSMUSG00000018983,0,0
ENSMUSG00000025959,4,2
ENSMUSG00000026628,1,2
ENSMUSG00000027230,0,4
ENSMUSG00000027985,1,0
ENSMUSG00000028163,1,2
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,0
ENSMUSG00000036867,0,15
ENSMUSG00000038615,2,2
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,2
ENSMUSG00000051910,0,2
ENSMUSG00000057098,0,0
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,2
ENSMUSG00000075595,2,0
ENSMUSG00000076431,1,2
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,2
ENSMUSG00000022485,0,1
ENSMUSG00000022528,0,2
ENSMUSG00000025025,1,0
ENSMUSG00000025223,0,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,15
