,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,5,1
ENSMUSG00000032228,8,0
ENSMUSG00000066551,6,3
ENSMUSG00000022952,0,6
ENSMUSG00000055320,2,13
ENSMUSG00000024238,10,6
ENSMUSG00000024420,0,3
ENSMUSG00000030557,2,2
ENSMUSG00000031627,2,6
ENSMUSG00000033713,2,13
ENSMUSG00000052534,2,6
ENSMUSG00000008398,3,0
ENSMUSG00000021972,1,1
ENSMUSG00000022601,1,0
ENSMUSG00000038718,1,1
ENSMUSG00000055799,1,3
ENSMUSG00000062991,4,13
ENSMUSG00000002265,4,2
ENSMUSG00000005566,2,2
ENSMUSG00000005698,2,0
ENSMUSG00000006932,5,0
ENSMUSG00000008575,4,6
ENSMUSG00000009079,1,2
ENSMUSG00000020919,0,0
ENSMUSG00000021127,0,0
ENSMUSG00000022811,3,2
ENSMUSG00000024498,2,0
ENSMUSG00000024949,1,0
ENSMUSG00000024985,3,2
ENSMUSG00000025529,3,2
ENSMUSG00000026349,1,2
ENSMUSG00000026872,6,0
ENSMUSG00000027868,0,0
ENSMUSG00000029705,2,2
ENSMUSG00000030067,1,0
ENSMUSG00000030199,5,6
ENSMUSG00000031681,2,6
ENSMUSG00000037608,4,0
ENSMUSG00000038535,1,6
ENSMUSG00000038872,0,0
ENSMUSG00000039087,2,13
ENSMUSG00000042496,2,3
ENSMUSG00000045333,1,13
ENSMUSG00000048410,4,0
ENSMUSG00000048897,1,13
ENSMUSG00000049606,1,1
ENSMUSG00000049878,1,0
ENSMUSG00000053110,1,0
ENSMUSG00000053477,4,6
ENSMUSG00000056758,2,0
ENSMUSG00000063524,4,2
ENSMUSG00000078671,1,0
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,2
ENSMUSG00000003929,0,3
ENSMUSG00000049577,0,16
ENSMUSG00000014592,1,16
ENSMUSG00000001911,0,6
ENSMUSG00000043456,0,0
ENSMUSG00000000282,0,13
ENSMUSG00000037992,0,0
ENSMUSG00000037465,0,6
ENSMUSG00000048402,0,16
ENSMUSG00000055053,0,6
ENSMUSG00000056493,0,6
ENSMUSG00000000247,0,0
ENSMUSG00000000317,1,1
ENSMUSG00000023781,0,16
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,13
ENSMUSG00000037868,0,6
ENSMUSG00000040270,2,18
ENSMUSG00000005836,0,2
ENSMUSG00000008976,1,0
ENSMUSG00000015619,1,6
ENSMUSG00000018983,0,0
ENSMUSG00000025959,4,3
ENSMUSG00000026628,0,3
ENSMUSG00000027230,0,3
ENSMUSG00000027985,0,1
ENSMUSG00000028163,0,1
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,2
ENSMUSG00000036867,2,2
ENSMUSG00000038615,0,2
ENSMUSG00000044303,1,0
ENSMUSG00000050100,0,2
ENSMUSG00000051910,0,2
ENSMUSG00000057098,0,3
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,6
ENSMUSG00000076431,0,0
ENSMUSG00000017491,1,3
ENSMUSG00000021944,1,6
ENSMUSG00000022485,0,0
ENSMUSG00000022528,1,2
ENSMUSG00000025025,0,16
ENSMUSG00000025223,0,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,3
