,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,7,0
ENSMUSG00000032228,4,0
ENSMUSG00000066551,4,0
ENSMUSG00000022952,15,10
ENSMUSG00000055320,4,2
ENSMUSG00000024238,1,0
ENSMUSG00000024420,0,1
ENSMUSG00000030557,1,0
ENSMUSG00000031627,2,0
ENSMUSG00000033713,1,10
ENSMUSG00000052534,5,14
ENSMUSG00000008398,3,16
ENSMUSG00000021972,2,0
ENSMUSG00000022601,5,0
ENSMUSG00000038718,1,10
ENSMUSG00000055799,1,0
ENSMUSG00000062991,7,0
ENSMUSG00000002265,2,0
ENSMUSG00000005566,2,0
ENSMUSG00000005698,1,4
ENSMUSG00000006932,1,0
ENSMUSG00000008575,1,16
ENSMUSG00000009079,1,0
ENSMUSG00000020919,0,1
ENSMUSG00000021127,1,2
ENSMUSG00000022811,2,0
ENSMUSG00000024498,2,2
ENSMUSG00000024949,1,2
ENSMUSG00000024985,0,2
ENSMUSG00000025529,4,0
ENSMUSG00000026349,1,0
ENSMUSG00000026872,10,0
ENSMUSG00000027868,0,2
ENSMUSG00000029705,0,2
ENSMUSG00000030067,1,4
ENSMUSG00000030199,4,16
ENSMUSG00000031681,3,2
ENSMUSG00000037608,3,0
ENSMUSG00000038535,4,0
ENSMUSG00000038872,0,14
ENSMUSG00000039087,1,2
ENSMUSG00000042496,0,1
ENSMUSG00000045333,0,17
ENSMUSG00000048410,2,10
ENSMUSG00000048897,1,2
ENSMUSG00000049606,4,0
ENSMUSG00000049878,2,0
ENSMUSG00000053110,1,2
ENSMUSG00000053477,1,10
ENSMUSG00000056758,1,4
ENSMUSG00000063524,1,2
ENSMUSG00000078671,2,0
ENSMUSG00000001517,1,2
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,1,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,10
ENSMUSG00000003282,0,4
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,16
ENSMUSG00000014592,1,16
ENSMUSG00000001911,0,10
ENSMUSG00000043456,0,10
ENSMUSG00000000282,0,2
ENSMUSG00000037992,0,0
ENSMUSG00000037465,1,1
ENSMUSG00000048402,0,1
ENSMUSG00000055053,1,2
ENSMUSG00000056493,0,16
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,1
ENSMUSG00000023781,0,1
ENSMUSG00000025407,0,2
ENSMUSG00000027544,0,0
ENSMUSG00000037868,0,0
ENSMUSG00000040270,1,10
ENSMUSG00000005836,1,0
ENSMUSG00000008976,1,10
ENSMUSG00000015619,0,0
ENSMUSG00000018983,0,4
ENSMUSG00000025959,4,2
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,0
ENSMUSG00000027985,0,0
ENSMUSG00000028163,2,1
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,2
ENSMUSG00000036867,1,1
ENSMUSG00000038615,1,2
ENSMUSG00000044303,0,1
ENSMUSG00000050100,0,1
ENSMUSG00000051910,0,0
ENSMUSG00000057098,0,4
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,3,0
ENSMUSG00000076431,2,0
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,0
ENSMUSG00000022485,0,2
ENSMUSG00000022528,4,1
ENSMUSG00000025025,0,2
ENSMUSG00000025223,0,0
ENSMUSG00000028736,0,10
ENSMUSG00000029178,1,0
