,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,18,4
ENSMUSG00000032228,10,0
ENSMUSG00000066551,1,4
ENSMUSG00000022952,0,8
ENSMUSG00000055320,3,14
ENSMUSG00000024238,6,1
ENSMUSG00000024420,3,8
ENSMUSG00000030557,7,1
ENSMUSG00000031627,1,4
ENSMUSG00000033713,5,9
ENSMUSG00000052534,7,6
ENSMUSG00000008398,4,1
ENSMUSG00000021972,4,8
ENSMUSG00000022601,1,1
ENSMUSG00000038718,1,4
ENSMUSG00000055799,1,4
ENSMUSG00000062991,1,4
ENSMUSG00000002265,3,4
ENSMUSG00000005566,1,3
ENSMUSG00000005698,1,4
ENSMUSG00000006932,4,1
ENSMUSG00000008575,0,7
ENSMUSG00000009079,1,1
ENSMUSG00000020919,1,1
ENSMUSG00000021127,1,1
ENSMUSG00000022811,1,1
ENSMUSG00000024498,1,4
ENSMUSG00000024949,0,1
ENSMUSG00000024985,0,9
ENSMUSG00000025529,5,1
ENSMUSG00000026349,1,1
ENSMUSG00000026872,9,1
ENSMUSG00000027868,0,1
ENSMUSG00000029705,1,1
ENSMUSG00000030067,3,5
ENSMUSG00000030199,12,4
ENSMUSG00000031681,1,4
ENSMUSG00000037608,1,1
ENSMUSG00000038535,1,0
ENSMUSG00000038872,1,12
ENSMUSG00000039087,3,4
ENSMUSG00000042496,0,4
ENSMUSG00000045333,1,12
ENSMUSG00000048410,1,1
ENSMUSG00000048897,6,3
ENSMUSG00000049606,1,0
ENSMUSG00000049878,1,1
ENSMUSG00000053110,1,1
ENSMUSG00000053477,3,3
ENSMUSG00000056758,4,1
ENSMUSG00000063524,4,1
ENSMUSG00000078671,5,1
ENSMUSG00000001517,1,1
ENSMUSG00000002147,1,1
ENSMUSG00000002393,1,1
ENSMUSG00000002428,1,1
ENSMUSG00000003051,0,1
ENSMUSG00000003184,0,3
ENSMUSG00000003282,1,4
ENSMUSG00000003929,0,1
ENSMUSG00000049577,1,18
ENSMUSG00000014592,0,13
ENSMUSG00000001911,0,11
ENSMUSG00000043456,0,5
ENSMUSG00000000282,0,8
ENSMUSG00000037992,1,11
ENSMUSG00000037465,0,4
ENSMUSG00000048402,0,7
ENSMUSG00000055053,0,7
ENSMUSG00000056493,0,10
ENSMUSG00000000247,0,5
ENSMUSG00000000317,1,5
ENSMUSG00000023781,0,10
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,4
ENSMUSG00000037868,0,1
ENSMUSG00000040270,4,8
ENSMUSG00000005836,0,1
ENSMUSG00000008976,0,1
ENSMUSG00000015619,0,4
ENSMUSG00000018983,0,0
ENSMUSG00000025959,5,10
ENSMUSG00000026628,0,5
ENSMUSG00000027230,0,4
ENSMUSG00000027985,0,7
ENSMUSG00000028163,1,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,7
ENSMUSG00000036867,0,4
ENSMUSG00000038615,1,4
ENSMUSG00000044303,0,1
ENSMUSG00000050100,0,1
ENSMUSG00000051910,0,10
ENSMUSG00000057098,1,8
ENSMUSG00000059824,0,5
ENSMUSG00000074622,0,3
ENSMUSG00000075595,1,11
ENSMUSG00000076431,0,1
ENSMUSG00000017491,1,3
ENSMUSG00000021944,0,8
ENSMUSG00000022485,0,4
ENSMUSG00000022528,1,4
ENSMUSG00000025025,0,11
ENSMUSG00000025223,0,1
ENSMUSG00000028736,0,3
ENSMUSG00000029178,0,1
