,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,1,1
ENSMUSG00000032228,8,2
ENSMUSG00000066551,4,1
ENSMUSG00000022952,0,13
ENSMUSG00000055320,4,13
ENSMUSG00000024238,4,0
ENSMUSG00000024420,7,6
ENSMUSG00000030557,8,6
ENSMUSG00000031627,1,2
ENSMUSG00000033713,8,6
ENSMUSG00000052534,1,19
ENSMUSG00000008398,3,0
ENSMUSG00000021972,4,0
ENSMUSG00000022601,3,1
ENSMUSG00000038718,6,6
ENSMUSG00000055799,2,3
ENSMUSG00000062991,2,16
ENSMUSG00000002265,2,3
ENSMUSG00000005566,1,3
ENSMUSG00000005698,1,2
ENSMUSG00000006932,1,2
ENSMUSG00000008575,6,6
ENSMUSG00000009079,1,0
ENSMUSG00000020919,1,0
ENSMUSG00000021127,0,2
ENSMUSG00000022811,3,0
ENSMUSG00000024498,2,6
ENSMUSG00000024949,1,2
ENSMUSG00000024985,2,2
ENSMUSG00000025529,0,0
ENSMUSG00000026349,1,2
ENSMUSG00000026872,2,13
ENSMUSG00000027868,0,13
ENSMUSG00000029705,3,3
ENSMUSG00000030067,9,15
ENSMUSG00000030199,3,2
ENSMUSG00000031681,0,2
ENSMUSG00000037608,3,0
ENSMUSG00000038535,4,0
ENSMUSG00000038872,1,6
ENSMUSG00000039087,2,0
ENSMUSG00000042496,1,2
ENSMUSG00000045333,2,6
ENSMUSG00000048410,1,1
ENSMUSG00000048897,1,0
ENSMUSG00000049606,2,2
ENSMUSG00000049878,1,0
ENSMUSG00000053110,1,0
ENSMUSG00000053477,4,2
ENSMUSG00000056758,14,13
ENSMUSG00000063524,2,3
ENSMUSG00000078671,1,0
ENSMUSG00000001517,0,2
ENSMUSG00000002147,1,2
ENSMUSG00000002393,0,2
ENSMUSG00000002428,0,2
ENSMUSG00000003051,0,0
ENSMUSG00000003184,1,0
ENSMUSG00000003282,2,1
ENSMUSG00000003929,0,2
ENSMUSG00000049577,1,13
ENSMUSG00000014592,2,16
ENSMUSG00000001911,0,1
ENSMUSG00000043456,0,2
ENSMUSG00000000282,0,2
ENSMUSG00000037992,0,0
ENSMUSG00000037465,0,16
ENSMUSG00000048402,0,6
ENSMUSG00000055053,0,2
ENSMUSG00000056493,0,13
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,16
ENSMUSG00000025407,0,2
ENSMUSG00000027544,0,2
ENSMUSG00000037868,0,2
ENSMUSG00000040270,1,2
ENSMUSG00000005836,2,2
ENSMUSG00000008976,0,2
ENSMUSG00000015619,0,3
ENSMUSG00000018983,0,13
ENSMUSG00000025959,0,13
ENSMUSG00000026628,0,3
ENSMUSG00000027230,1,0
ENSMUSG00000027985,1,6
ENSMUSG00000028163,1,3
ENSMUSG00000029697,0,2
ENSMUSG00000031737,0,2
ENSMUSG00000036867,2,3
ENSMUSG00000038615,2,2
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,3,16
ENSMUSG00000057098,15,0
ENSMUSG00000059824,0,3
ENSMUSG00000074622,0,3
ENSMUSG00000075595,1,13
ENSMUSG00000076431,2,0
ENSMUSG00000017491,0,6
ENSMUSG00000021944,6,2
ENSMUSG00000022485,0,0
ENSMUSG00000022528,1,6
ENSMUSG00000025025,0,0
ENSMUSG00000025223,2,6
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,3
