,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,6,2
ENSMUSG00000032228,6,0
ENSMUSG00000066551,2,5
ENSMUSG00000022952,2,2
ENSMUSG00000055320,2,2
ENSMUSG00000024238,2,1
ENSMUSG00000024420,1,6
ENSMUSG00000030557,1,1
ENSMUSG00000031627,1,1
ENSMUSG00000033713,8,6
ENSMUSG00000052534,3,8
ENSMUSG00000008398,6,1
ENSMUSG00000021972,1,5
ENSMUSG00000022601,2,1
ENSMUSG00000038718,1,5
ENSMUSG00000055799,1,5
ENSMUSG00000062991,8,9
ENSMUSG00000002265,2,2
ENSMUSG00000005566,1,0
ENSMUSG00000005698,1,6
ENSMUSG00000006932,2,1
ENSMUSG00000008575,2,5
ENSMUSG00000009079,2,5
ENSMUSG00000020919,1,1
ENSMUSG00000021127,0,2
ENSMUSG00000022811,1,1
ENSMUSG00000024498,2,1
ENSMUSG00000024949,1,2
ENSMUSG00000024985,0,9
ENSMUSG00000025529,3,0
ENSMUSG00000026349,1,0
ENSMUSG00000026872,2,5
ENSMUSG00000027868,1,1
ENSMUSG00000029705,1,6
ENSMUSG00000030067,1,6
ENSMUSG00000030199,2,9
ENSMUSG00000031681,0,9
ENSMUSG00000037608,0,5
ENSMUSG00000038535,0,2
ENSMUSG00000038872,2,10
ENSMUSG00000039087,2,1
ENSMUSG00000042496,0,2
ENSMUSG00000045333,1,5
ENSMUSG00000048410,2,1
ENSMUSG00000048897,2,0
ENSMUSG00000049606,1,0
ENSMUSG00000049878,1,0
ENSMUSG00000053110,0,0
ENSMUSG00000053477,2,6
ENSMUSG00000056758,3,2
ENSMUSG00000063524,2,5
ENSMUSG00000078671,0,2
ENSMUSG00000001517,0,0
ENSMUSG00000002147,1,1
ENSMUSG00000002393,1,1
ENSMUSG00000002428,0,1
ENSMUSG00000003051,0,1
ENSMUSG00000003184,0,0
ENSMUSG00000003282,1,0
ENSMUSG00000003929,0,1
ENSMUSG00000049577,1,15
ENSMUSG00000014592,1,10
ENSMUSG00000001911,0,9
ENSMUSG00000043456,0,8
ENSMUSG00000000282,0,2
ENSMUSG00000037992,1,14
ENSMUSG00000037465,0,5
ENSMUSG00000048402,0,1
ENSMUSG00000055053,0,1
ENSMUSG00000056493,0,6
ENSMUSG00000000247,0,2
ENSMUSG00000000317,0,1
ENSMUSG00000023781,0,5
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,5
ENSMUSG00000037868,0,1
ENSMUSG00000040270,2,9
ENSMUSG00000005836,0,2
ENSMUSG00000008976,1,8
ENSMUSG00000015619,0,5
ENSMUSG00000018983,0,2
ENSMUSG00000025959,3,5
ENSMUSG00000026628,1,2
ENSMUSG00000027230,0,1
ENSMUSG00000027985,1,0
ENSMUSG00000028163,1,6
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,1
ENSMUSG00000036867,0,5
ENSMUSG00000038615,0,2
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,1
ENSMUSG00000051910,0,2
ENSMUSG00000057098,0,2
ENSMUSG00000059824,0,1
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,9
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,6
ENSMUSG00000021944,0,9
ENSMUSG00000022485,0,2
ENSMUSG00000022528,0,6
ENSMUSG00000025025,0,5
ENSMUSG00000025223,1,0
ENSMUSG00000028736,0,2
ENSMUSG00000029178,2,6
