,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,17,0
ENSMUSG00000032228,5,0
ENSMUSG00000066551,3,0
ENSMUSG00000022952,0,0
ENSMUSG00000055320,6,18
ENSMUSG00000024238,9,18
ENSMUSG00000024420,3,0
ENSMUSG00000030557,7,18
ENSMUSG00000031627,2,1
ENSMUSG00000033713,9,14
ENSMUSG00000052534,6,0
ENSMUSG00000008398,3,0
ENSMUSG00000021972,3,0
ENSMUSG00000022601,2,0
ENSMUSG00000038718,2,0
ENSMUSG00000055799,5,0
ENSMUSG00000062991,20,1
ENSMUSG00000002265,7,0
ENSMUSG00000005566,0,0
ENSMUSG00000005698,3,0
ENSMUSG00000006932,1,0
ENSMUSG00000008575,6,0
ENSMUSG00000009079,2,0
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,1,0
ENSMUSG00000024498,3,0
ENSMUSG00000024949,1,0
ENSMUSG00000024985,1,18
ENSMUSG00000025529,3,0
ENSMUSG00000026349,1,18
ENSMUSG00000026872,8,0
ENSMUSG00000027868,0,18
ENSMUSG00000029705,1,1
ENSMUSG00000030067,0,18
ENSMUSG00000030199,7,18
ENSMUSG00000031681,0,18
ENSMUSG00000037608,1,0
ENSMUSG00000038535,3,0
ENSMUSG00000038872,3,18
ENSMUSG00000039087,0,0
ENSMUSG00000042496,1,0
ENSMUSG00000045333,1,18
ENSMUSG00000048410,5,0
ENSMUSG00000048897,2,0
ENSMUSG00000049606,3,0
ENSMUSG00000049878,1,18
ENSMUSG00000053110,1,0
ENSMUSG00000053477,19,0
ENSMUSG00000056758,9,0
ENSMUSG00000063524,1,0
ENSMUSG00000078671,1,0
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,1
ENSMUSG00000002393,0,14
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,16
ENSMUSG00000003929,1,0
ENSMUSG00000049577,1,0
ENSMUSG00000014592,1,0
ENSMUSG00000001911,0,18
ENSMUSG00000043456,0,14
ENSMUSG00000000282,0,0
ENSMUSG00000037992,0,0
ENSMUSG00000037465,0,1
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,0
ENSMUSG00000056493,0,0
ENSMUSG00000000247,0,0
ENSMUSG00000000317,1,0
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,1,0
ENSMUSG00000037868,0,0
ENSMUSG00000040270,5,18
ENSMUSG00000005836,2,0
ENSMUSG00000008976,0,14
ENSMUSG00000015619,0,0
ENSMUSG00000018983,0,0
ENSMUSG00000025959,5,18
ENSMUSG00000026628,1,12
ENSMUSG00000027230,0,0
ENSMUSG00000027985,2,12
ENSMUSG00000028163,3,18
ENSMUSG00000029697,0,1
ENSMUSG00000031737,0,0
ENSMUSG00000036867,2,0
ENSMUSG00000038615,0,0
ENSMUSG00000044303,1,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,0
ENSMUSG00000057098,0,0
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,18
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,1
ENSMUSG00000021944,1,0
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,0
ENSMUSG00000025025,1,18
ENSMUSG00000025223,0,14
ENSMUSG00000028736,0,18
ENSMUSG00000029178,1,18
