,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,10,0
ENSMUSG00000032228,4,0
ENSMUSG00000066551,6,6
ENSMUSG00000022952,0,2
ENSMUSG00000055320,2,6
ENSMUSG00000024238,2,0
ENSMUSG00000024420,1,1
ENSMUSG00000030557,3,2
ENSMUSG00000031627,1,12
ENSMUSG00000033713,1,4
ENSMUSG00000052534,1,4
ENSMUSG00000008398,1,2
ENSMUSG00000021972,5,1
ENSMUSG00000022601,2,0
ENSMUSG00000038718,4,1
ENSMUSG00000055799,1,6
ENSMUSG00000062991,6,9
ENSMUSG00000002265,3,1
ENSMUSG00000005566,1,1
ENSMUSG00000005698,2,0
ENSMUSG00000006932,2,1
ENSMUSG00000008575,4,13
ENSMUSG00000009079,3,2
ENSMUSG00000020919,2,1
ENSMUSG00000021127,2,5
ENSMUSG00000022811,2,1
ENSMUSG00000024498,1,0
ENSMUSG00000024949,0,2
ENSMUSG00000024985,2,1
ENSMUSG00000025529,2,0
ENSMUSG00000026349,0,0
ENSMUSG00000026872,8,1
ENSMUSG00000027868,0,4
ENSMUSG00000029705,4,0
ENSMUSG00000030067,2,1
ENSMUSG00000030199,6,4
ENSMUSG00000031681,2,1
ENSMUSG00000037608,1,1
ENSMUSG00000038535,5,0
ENSMUSG00000038872,2,6
ENSMUSG00000039087,2,0
ENSMUSG00000042496,1,0
ENSMUSG00000045333,2,5
ENSMUSG00000048410,2,2
ENSMUSG00000048897,0,1
ENSMUSG00000049606,2,0
ENSMUSG00000049878,2,0
ENSMUSG00000053110,2,1
ENSMUSG00000053477,4,8
ENSMUSG00000056758,2,6
ENSMUSG00000063524,2,1
ENSMUSG00000078671,2,2
ENSMUSG00000001517,1,1
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,1
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,1
ENSMUSG00000003184,0,2
ENSMUSG00000003282,1,0
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,12
ENSMUSG00000014592,0,12
ENSMUSG00000001911,0,9
ENSMUSG00000043456,0,8
ENSMUSG00000000282,1,6
ENSMUSG00000037992,0,6
ENSMUSG00000037465,0,5
ENSMUSG00000048402,0,4
ENSMUSG00000055053,0,6
ENSMUSG00000056493,1,5
ENSMUSG00000000247,0,1
ENSMUSG00000000317,1,5
ENSMUSG00000023781,0,2
ENSMUSG00000025407,0,1
ENSMUSG00000027544,0,2
ENSMUSG00000037868,0,4
ENSMUSG00000040270,2,9
ENSMUSG00000005836,1,2
ENSMUSG00000008976,0,1
ENSMUSG00000015619,0,1
ENSMUSG00000018983,1,2
ENSMUSG00000025959,1,6
ENSMUSG00000026628,1,2
ENSMUSG00000027230,0,2
ENSMUSG00000027985,0,0
ENSMUSG00000028163,0,1
ENSMUSG00000029697,1,0
ENSMUSG00000031737,0,1
ENSMUSG00000036867,0,1
ENSMUSG00000038615,1,5
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,1
ENSMUSG00000051910,1,1
ENSMUSG00000057098,0,6
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,4,9
ENSMUSG00000076431,2,0
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,5
ENSMUSG00000022485,0,0
ENSMUSG00000022528,1,0
ENSMUSG00000025025,0,2
ENSMUSG00000025223,1,2
ENSMUSG00000028736,0,0
ENSMUSG00000029178,2,1
