,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,20,0
ENSMUSG00000032228,5,0
ENSMUSG00000066551,2,15
ENSMUSG00000022952,0,0
ENSMUSG00000055320,2,15
ENSMUSG00000024238,9,0
ENSMUSG00000024420,2,15
ENSMUSG00000030557,8,0
ENSMUSG00000031627,0,0
ENSMUSG00000033713,5,15
ENSMUSG00000052534,5,0
ENSMUSG00000008398,5,15
ENSMUSG00000021972,10,0
ENSMUSG00000022601,2,15
ENSMUSG00000038718,5,0
ENSMUSG00000055799,1,0
ENSMUSG00000062991,2,0
ENSMUSG00000002265,1,0
ENSMUSG00000005566,1,15
ENSMUSG00000005698,0,0
ENSMUSG00000006932,1,0
ENSMUSG00000008575,0,0
ENSMUSG00000009079,2,0
ENSMUSG00000020919,0,0
ENSMUSG00000021127,0,0
ENSMUSG00000022811,2,15
ENSMUSG00000024498,1,0
ENSMUSG00000024949,2,0
ENSMUSG00000024985,1,0
ENSMUSG00000025529,2,0
ENSMUSG00000026349,1,0
ENSMUSG00000026872,9,0
ENSMUSG00000027868,0,0
ENSMUSG00000029705,1,1
ENSMUSG00000030067,0,0
ENSMUSG00000030199,11,0
ENSMUSG00000031681,2,15
ENSMUSG00000037608,0,0
ENSMUSG00000038535,4,0
ENSMUSG00000038872,0,20
ENSMUSG00000039087,0,15
ENSMUSG00000042496,2,0
ENSMUSG00000045333,1,0
ENSMUSG00000048410,1,15
ENSMUSG00000048897,1,15
ENSMUSG00000049606,2,0
ENSMUSG00000049878,1,0
ENSMUSG00000053110,1,0
ENSMUSG00000053477,16,9
ENSMUSG00000056758,1,0
ENSMUSG00000063524,2,15
ENSMUSG00000078671,0,15
ENSMUSG00000001517,1,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,1,0
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,1
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,15
ENSMUSG00000014592,1,20
ENSMUSG00000001911,0,0
ENSMUSG00000043456,0,0
ENSMUSG00000000282,0,0
ENSMUSG00000037992,0,9
ENSMUSG00000037465,0,0
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,15
ENSMUSG00000056493,0,0
ENSMUSG00000000247,0,15
ENSMUSG00000000317,0,15
ENSMUSG00000023781,0,0
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,0
ENSMUSG00000037868,0,0
ENSMUSG00000040270,1,0
ENSMUSG00000005836,2,0
ENSMUSG00000008976,0,0
ENSMUSG00000015619,0,0
ENSMUSG00000018983,0,15
ENSMUSG00000025959,8,0
ENSMUSG00000026628,0,0
ENSMUSG00000027230,0,0
ENSMUSG00000027985,0,0
ENSMUSG00000028163,1,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,0
ENSMUSG00000036867,0,0
ENSMUSG00000038615,0,0
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,1,15
ENSMUSG00000057098,0,1
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,15
ENSMUSG00000076431,0,0
ENSMUSG00000017491,2,1
ENSMUSG00000021944,0,15
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,0
ENSMUSG00000025025,0,0
ENSMUSG00000025223,0,0
ENSMUSG00000028736,0,15
ENSMUSG00000029178,1,9
