,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,8,0
ENSMUSG00000032228,6,0
ENSMUSG00000066551,3,0
ENSMUSG00000022952,1,0
ENSMUSG00000055320,2,9
ENSMUSG00000024238,3,0
ENSMUSG00000024420,1,0
ENSMUSG00000030557,2,0
ENSMUSG00000031627,2,0
ENSMUSG00000033713,3,1
ENSMUSG00000052534,3,9
ENSMUSG00000008398,2,0
ENSMUSG00000021972,2,9
ENSMUSG00000022601,0,0
ENSMUSG00000038718,2,0
ENSMUSG00000055799,2,1
ENSMUSG00000062991,8,1
ENSMUSG00000002265,0,0
ENSMUSG00000005566,1,0
ENSMUSG00000005698,2,0
ENSMUSG00000006932,2,0
ENSMUSG00000008575,2,0
ENSMUSG00000009079,1,0
ENSMUSG00000020919,1,0
ENSMUSG00000021127,0,0
ENSMUSG00000022811,1,0
ENSMUSG00000024498,2,9
ENSMUSG00000024949,1,0
ENSMUSG00000024985,2,0
ENSMUSG00000025529,5,0
ENSMUSG00000026349,2,9
ENSMUSG00000026872,1,0
ENSMUSG00000027868,0,0
ENSMUSG00000029705,2,0
ENSMUSG00000030067,0,0
ENSMUSG00000030199,9,0
ENSMUSG00000031681,1,0
ENSMUSG00000037608,3,0
ENSMUSG00000038535,2,0
ENSMUSG00000038872,3,9
ENSMUSG00000039087,2,0
ENSMUSG00000042496,0,0
ENSMUSG00000045333,1,0
ENSMUSG00000048410,7,0
ENSMUSG00000048897,1,0
ENSMUSG00000049606,3,0
ENSMUSG00000049878,1,0
ENSMUSG00000053110,1,9
ENSMUSG00000053477,6,0
ENSMUSG00000056758,2,1
ENSMUSG00000063524,5,0
ENSMUSG00000078671,2,0
ENSMUSG00000001517,0,0
ENSMUSG00000002147,1,0
ENSMUSG00000002393,1,0
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,9
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,0
ENSMUSG00000014592,1,20
ENSMUSG00000001911,0,20
ENSMUSG00000043456,0,1
ENSMUSG00000000282,0,0
ENSMUSG00000037992,1,20
ENSMUSG00000037465,0,9
ENSMUSG00000048402,0,20
ENSMUSG00000055053,0,1
ENSMUSG00000056493,0,9
ENSMUSG00000000247,0,0
ENSMUSG00000000317,1,0
ENSMUSG00000023781,1,1
ENSMUSG00000025407,0,9
ENSMUSG00000027544,0,0
ENSMUSG00000037868,0,0
ENSMUSG00000040270,2,9
ENSMUSG00000005836,0,0
ENSMUSG00000008976,0,0
ENSMUSG00000015619,0,9
ENSMUSG00000018983,0,0
ENSMUSG00000025959,2,9
ENSMUSG00000026628,1,0
ENSMUSG00000027230,0,0
ENSMUSG00000027985,0,0
ENSMUSG00000028163,0,1
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,1
ENSMUSG00000036867,1,20
ENSMUSG00000038615,0,0
ENSMUSG00000044303,0,0
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,0
ENSMUSG00000057098,0,0
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,9
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,9
ENSMUSG00000021944,0,0
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,1
ENSMUSG00000025025,0,1
ENSMUSG00000025223,1,0
ENSMUSG00000028736,0,0
ENSMUSG00000029178,1,0
