,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,13,0
ENSMUSG00000032228,6,4
ENSMUSG00000066551,4,4
ENSMUSG00000022952,0,15
ENSMUSG00000055320,6,6
ENSMUSG00000024238,3,0
ENSMUSG00000024420,2,8
ENSMUSG00000030557,3,0
ENSMUSG00000031627,1,6
ENSMUSG00000033713,1,9
ENSMUSG00000052534,3,9
ENSMUSG00000008398,2,0
ENSMUSG00000021972,3,3
ENSMUSG00000022601,1,5
ENSMUSG00000038718,1,2
ENSMUSG00000055799,1,5
ENSMUSG00000062991,3,0
ENSMUSG00000002265,4,4
ENSMUSG00000005566,1,4
ENSMUSG00000005698,1,2
ENSMUSG00000006932,3,4
ENSMUSG00000008575,3,0
ENSMUSG00000009079,1,4
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,3,0
ENSMUSG00000024498,1,3
ENSMUSG00000024949,1,2
ENSMUSG00000024985,0,4
ENSMUSG00000025529,6,0
ENSMUSG00000026349,1,2
ENSMUSG00000026872,5,1
ENSMUSG00000027868,0,4
ENSMUSG00000029705,2,2
ENSMUSG00000030067,0,6
ENSMUSG00000030199,4,15
ENSMUSG00000031681,0,5
ENSMUSG00000037608,1,0
ENSMUSG00000038535,5,0
ENSMUSG00000038872,1,13
ENSMUSG00000039087,4,9
ENSMUSG00000042496,1,3
ENSMUSG00000045333,0,6
ENSMUSG00000048410,5,2
ENSMUSG00000048897,3,1
ENSMUSG00000049606,1,0
ENSMUSG00000049878,1,4
ENSMUSG00000053110,1,3
ENSMUSG00000053477,12,6
ENSMUSG00000056758,3,4
ENSMUSG00000063524,4,6
ENSMUSG00000078671,1,0
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,2
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,2
ENSMUSG00000003282,0,4
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,19
ENSMUSG00000014592,1,18
ENSMUSG00000001911,0,3
ENSMUSG00000043456,0,2
ENSMUSG00000000282,0,4
ENSMUSG00000037992,1,7
ENSMUSG00000037465,1,8
ENSMUSG00000048402,0,1
ENSMUSG00000055053,1,8
ENSMUSG00000056493,1,5
ENSMUSG00000000247,0,0
ENSMUSG00000000317,1,0
ENSMUSG00000023781,0,1
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,7
ENSMUSG00000037868,0,2
ENSMUSG00000040270,1,9
ENSMUSG00000005836,1,6
ENSMUSG00000008976,1,4
ENSMUSG00000015619,0,7
ENSMUSG00000018983,0,2
ENSMUSG00000025959,5,4
ENSMUSG00000026628,0,5
ENSMUSG00000027230,0,2
ENSMUSG00000027985,1,0
ENSMUSG00000028163,2,4
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,0
ENSMUSG00000036867,1,6
ENSMUSG00000038615,1,8
ENSMUSG00000044303,0,4
ENSMUSG00000050100,0,1
ENSMUSG00000051910,1,6
ENSMUSG00000057098,0,3
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,4
ENSMUSG00000075595,1,2
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,4
ENSMUSG00000021944,1,7
ENSMUSG00000022485,0,5
ENSMUSG00000022528,0,0
ENSMUSG00000025025,0,3
ENSMUSG00000025223,1,2
ENSMUSG00000028736,0,4
ENSMUSG00000029178,1,3
