,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,14,6
ENSMUSG00000032228,16,0
ENSMUSG00000066551,4,2
ENSMUSG00000022952,1,5
ENSMUSG00000055320,4,7
ENSMUSG00000024238,7,4
ENSMUSG00000024420,1,7
ENSMUSG00000030557,3,0
ENSMUSG00000031627,1,3
ENSMUSG00000033713,4,7
ENSMUSG00000052534,14,12
ENSMUSG00000008398,3,2
ENSMUSG00000021972,3,3
ENSMUSG00000022601,3,2
ENSMUSG00000038718,5,2
ENSMUSG00000055799,3,4
ENSMUSG00000062991,12,1
ENSMUSG00000002265,2,2
ENSMUSG00000005566,1,5
ENSMUSG00000005698,1,3
ENSMUSG00000006932,4,0
ENSMUSG00000008575,2,5
ENSMUSG00000009079,2,4
ENSMUSG00000020919,1,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,1,4
ENSMUSG00000024498,2,1
ENSMUSG00000024949,1,1
ENSMUSG00000024985,2,7
ENSMUSG00000025529,3,1
ENSMUSG00000026349,1,1
ENSMUSG00000026872,9,5
ENSMUSG00000027868,0,2
ENSMUSG00000029705,0,6
ENSMUSG00000030067,2,1
ENSMUSG00000030199,6,3
ENSMUSG00000031681,1,5
ENSMUSG00000037608,1,2
ENSMUSG00000038535,2,1
ENSMUSG00000038872,1,4
ENSMUSG00000039087,4,14
ENSMUSG00000042496,1,1
ENSMUSG00000045333,1,14
ENSMUSG00000048410,1,2
ENSMUSG00000048897,5,7
ENSMUSG00000049606,2,2
ENSMUSG00000049878,5,0
ENSMUSG00000053110,2,1
ENSMUSG00000053477,4,6
ENSMUSG00000056758,5,2
ENSMUSG00000063524,2,3
ENSMUSG00000078671,3,1
ENSMUSG00000001517,0,2
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,1
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,1
ENSMUSG00000003184,0,0
ENSMUSG00000003282,0,4
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,12
ENSMUSG00000014592,3,16
ENSMUSG00000001911,0,16
ENSMUSG00000043456,0,5
ENSMUSG00000000282,0,9
ENSMUSG00000037992,0,15
ENSMUSG00000037465,1,9
ENSMUSG00000048402,0,4
ENSMUSG00000055053,0,6
ENSMUSG00000056493,1,5
ENSMUSG00000000247,0,2
ENSMUSG00000000317,0,4
ENSMUSG00000023781,0,5
ENSMUSG00000025407,0,2
ENSMUSG00000027544,0,1
ENSMUSG00000037868,0,6
ENSMUSG00000040270,6,13
ENSMUSG00000005836,0,6
ENSMUSG00000008976,1,3
ENSMUSG00000015619,0,12
ENSMUSG00000018983,0,1
ENSMUSG00000025959,8,2
ENSMUSG00000026628,0,1
ENSMUSG00000027230,0,4
ENSMUSG00000027985,1,2
ENSMUSG00000028163,1,0
ENSMUSG00000029697,0,0
ENSMUSG00000031737,0,4
ENSMUSG00000036867,1,9
ENSMUSG00000038615,0,1
ENSMUSG00000044303,0,1
ENSMUSG00000050100,0,1
ENSMUSG00000051910,0,3
ENSMUSG00000057098,1,12
ENSMUSG00000059824,0,4
ENSMUSG00000074622,0,1
ENSMUSG00000075595,0,7
ENSMUSG00000076431,1,1
ENSMUSG00000017491,0,5
ENSMUSG00000021944,1,4
ENSMUSG00000022485,0,2
ENSMUSG00000022528,0,7
ENSMUSG00000025025,0,2
ENSMUSG00000025223,0,1
ENSMUSG00000028736,0,4
ENSMUSG00000029178,0,3
