,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,11,2
ENSMUSG00000032228,7,0
ENSMUSG00000066551,4,13
ENSMUSG00000022952,2,2
ENSMUSG00000055320,1,13
ENSMUSG00000024238,4,0
ENSMUSG00000024420,2,0
ENSMUSG00000030557,2,0
ENSMUSG00000031627,1,4
ENSMUSG00000033713,0,10
ENSMUSG00000052534,1,0
ENSMUSG00000008398,1,0
ENSMUSG00000021972,1,4
ENSMUSG00000022601,2,0
ENSMUSG00000038718,7,4
ENSMUSG00000055799,1,13
ENSMUSG00000062991,4,10
ENSMUSG00000002265,1,0
ENSMUSG00000005566,3,2
ENSMUSG00000005698,3,0
ENSMUSG00000006932,2,0
ENSMUSG00000008575,4,10
ENSMUSG00000009079,2,0
ENSMUSG00000020919,0,2
ENSMUSG00000021127,1,4
ENSMUSG00000022811,2,0
ENSMUSG00000024498,2,0
ENSMUSG00000024949,1,0
ENSMUSG00000024985,1,0
ENSMUSG00000025529,2,0
ENSMUSG00000026349,2,0
ENSMUSG00000026872,2,1
ENSMUSG00000027868,0,0
ENSMUSG00000029705,1,2
ENSMUSG00000030067,0,2
ENSMUSG00000030199,9,2
ENSMUSG00000031681,1,2
ENSMUSG00000037608,2,0
ENSMUSG00000038535,4,2
ENSMUSG00000038872,2,10
ENSMUSG00000039087,2,10
ENSMUSG00000042496,0,0
ENSMUSG00000045333,0,0
ENSMUSG00000048410,2,0
ENSMUSG00000048897,2,2
ENSMUSG00000049606,1,1
ENSMUSG00000049878,1,2
ENSMUSG00000053110,0,0
ENSMUSG00000053477,1,0
ENSMUSG00000056758,3,4
ENSMUSG00000063524,6,0
ENSMUSG00000078671,2,2
ENSMUSG00000001517,0,0
ENSMUSG00000002147,0,0
ENSMUSG00000002393,0,0
ENSMUSG00000002428,0,2
ENSMUSG00000003051,0,0
ENSMUSG00000003184,1,4
ENSMUSG00000003282,1,0
ENSMUSG00000003929,0,0
ENSMUSG00000049577,0,13
ENSMUSG00000014592,6,10
ENSMUSG00000001911,0,10
ENSMUSG00000043456,0,0
ENSMUSG00000000282,0,4
ENSMUSG00000037992,0,19
ENSMUSG00000037465,1,2
ENSMUSG00000048402,0,2
ENSMUSG00000055053,0,10
ENSMUSG00000056493,0,0
ENSMUSG00000000247,0,1
ENSMUSG00000000317,1,2
ENSMUSG00000023781,1,1
ENSMUSG00000025407,0,0
ENSMUSG00000027544,0,1
ENSMUSG00000037868,0,0
ENSMUSG00000040270,2,19
ENSMUSG00000005836,1,0
ENSMUSG00000008976,0,0
ENSMUSG00000015619,0,0
ENSMUSG00000018983,0,2
ENSMUSG00000025959,3,2
ENSMUSG00000026628,1,0
ENSMUSG00000027230,0,10
ENSMUSG00000027985,0,1
ENSMUSG00000028163,1,0
ENSMUSG00000029697,0,2
ENSMUSG00000031737,0,0
ENSMUSG00000036867,1,0
ENSMUSG00000038615,1,0
ENSMUSG00000044303,0,2
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,2
ENSMUSG00000057098,0,10
ENSMUSG00000059824,0,0
ENSMUSG00000074622,0,0
ENSMUSG00000075595,1,0
ENSMUSG00000076431,1,0
ENSMUSG00000017491,0,0
ENSMUSG00000021944,0,0
ENSMUSG00000022485,0,1
ENSMUSG00000022528,1,4
ENSMUSG00000025025,0,0
ENSMUSG00000025223,1,1
ENSMUSG00000028736,0,4
ENSMUSG00000029178,1,2
