,gene_mean_exp,peak_mean_count
ENSMUSG00000016087,6,1
ENSMUSG00000032228,4,0
ENSMUSG00000066551,2,0
ENSMUSG00000022952,1,4
ENSMUSG00000055320,1,8
ENSMUSG00000024238,6,2
ENSMUSG00000024420,1,4
ENSMUSG00000030557,2,5
ENSMUSG00000031627,0,0
ENSMUSG00000033713,1,0
ENSMUSG00000052534,1,1
ENSMUSG00000008398,2,0
ENSMUSG00000021972,1,1
ENSMUSG00000022601,0,0
ENSMUSG00000038718,1,1
ENSMUSG00000055799,1,3
ENSMUSG00000062991,6,5
ENSMUSG00000002265,5,0
ENSMUSG00000005566,2,4
ENSMUSG00000005698,0,0
ENSMUSG00000006932,2,0
ENSMUSG00000008575,1,0
ENSMUSG00000009079,2,2
ENSMUSG00000020919,0,0
ENSMUSG00000021127,1,0
ENSMUSG00000022811,4,0
ENSMUSG00000024498,1,4
ENSMUSG00000024949,2,2
ENSMUSG00000024985,1,2
ENSMUSG00000025529,6,0
ENSMUSG00000026349,0,2
ENSMUSG00000026872,0,0
ENSMUSG00000027868,0,1
ENSMUSG00000029705,0,0
ENSMUSG00000030067,1,0
ENSMUSG00000030199,2,2
ENSMUSG00000031681,0,2
ENSMUSG00000037608,2,4
ENSMUSG00000038535,2,0
ENSMUSG00000038872,1,8
ENSMUSG00000039087,1,1
ENSMUSG00000042496,1,0
ENSMUSG00000045333,0,2
ENSMUSG00000048410,1,0
ENSMUSG00000048897,5,0
ENSMUSG00000049606,1,0
ENSMUSG00000049878,1,0
ENSMUSG00000053110,0,0
ENSMUSG00000053477,4,1
ENSMUSG00000056758,2,1
ENSMUSG00000063524,2,2
ENSMUSG00000078671,2,2
ENSMUSG00000001517,0,0
ENSMUSG00000002147,1,2
ENSMUSG00000002393,0,1
ENSMUSG00000002428,0,0
ENSMUSG00000003051,0,0
ENSMUSG00000003184,0,0
ENSMUSG00000003282,1,0
ENSMUSG00000003929,0,0
ENSMUSG00000049577,1,2
ENSMUSG00000014592,1,8
ENSMUSG00000001911,0,12
ENSMUSG00000043456,0,0
ENSMUSG00000000282,0,12
ENSMUSG00000037992,0,5
ENSMUSG00000037465,1,2
ENSMUSG00000048402,0,0
ENSMUSG00000055053,0,4
ENSMUSG00000056493,0,0
ENSMUSG00000000247,0,0
ENSMUSG00000000317,0,0
ENSMUSG00000023781,0,2
ENSMUSG00000025407,0,2
ENSMUSG00000027544,0,8
ENSMUSG00000037868,0,0
ENSMUSG00000040270,0,8
ENSMUSG00000005836,1,8
ENSMUSG00000008976,0,0
ENSMUSG00000015619,0,0
ENSMUSG00000018983,0,0
ENSMUSG00000025959,2,5
ENSMUSG00000026628,1,0
ENSMUSG00000027230,0,4
ENSMUSG00000027985,0,0
ENSMUSG00000028163,2,0
ENSMUSG00000029697,0,4
ENSMUSG00000031737,0,2
ENSMUSG00000036867,1,2
ENSMUSG00000038615,1,0
ENSMUSG00000044303,0,2
ENSMUSG00000050100,0,0
ENSMUSG00000051910,0,2
ENSMUSG00000057098,0,0
ENSMUSG00000059824,0,4
ENSMUSG00000074622,0,0
ENSMUSG00000075595,2,2
ENSMUSG00000076431,0,0
ENSMUSG00000017491,0,4
ENSMUSG00000021944,0,3
ENSMUSG00000022485,0,0
ENSMUSG00000022528,0,0
ENSMUSG00000025025,0,12
ENSMUSG00000025223,0,2
ENSMUSG00000028736,0,2
ENSMUSG00000029178,1,8
