ENSMUSG00000008575	ENSMUSG00000005583	ENSMUSG00000040732	ENSMUSG00000025959	ENSMUSG00000000317	ENSMUSG00000020160	ENSMUSG00000064141	ENSMUSG00000032035	ENSMUSG00000050919	ENSMUSG00000031627	ENSMUSG00000069378	ENSMUSG00000044167	ENSMUSG00000031103	ENSMUSG00000025529	ENSMUSG00000029553	ENSMUSG00000006311	ENSMUSG00000055435	ENSMUSG00000022895	ENSMUSG00000053477	ENSMUSG00000018604	ENSMUSG00000008398	ENSMUSG00000029178	ENSMUSG00000024238	ENSMUSG00000027684	ENSMUSG00000062327	ENSMUSG00000028565	ENSMUSG00000000078	ENSMUSG00000023902	ENSMUSG00000027583	ENSMUSG00000028163	ENSMUSG00000038227	ENSMUSG00000024985	ENSMUSG00000053007	ENSMUSG00000022150	ENSMUSG00000040929	ENSMUSG00000046470	ENSMUSG00000024406	ENSMUSG00000020484	ENSMUSG00000000094	ENSMUSG00000024140	ENSMUSG00000063632	ENSMUSG00000044220	ENSMUSG00000025902	ENSMUSG00000026628	ENSMUSG00000040270	ENSMUSG00000020185	ENSMUSG00000057098	ENSMUSG00000038236	ENSMUSG00000055148	ENSMUSG00000027210	ENSMUSG00000030788	ENSMUSG00000042439	ENSMUSG00000048402	ENSMUSG00000032446	ENSMUSG00000030341	ENSMUSG00000027361	ENSMUSG00000027547	ENSMUSG00000000938	ENSMUSG00000068551	ENSMUSG00000018698	ENSMUSG00000058881	ENSMUSG00000055799	ENSMUSG00000028466	ENSMUSG00000071637	ENSMUSG00000048410	ENSMUSG00000040433	ENSMUSG00000034041	ENSMUSG00000021877	ENSMUSG00000047003	ENSMUSG00000007805	ENSMUSG00000079277	ENSMUSG00000075040	ENSMUSG00000055053	ENSMUSG00000033713	ENSMUSG00000026436	ENSMUSG00000016087	ENSMUSG00000056758	ENSMUSG00000075588	ENSMUSG00000026104	ENSMUSG00000038700	ENSMUSG00000026398	ENSMUSG00000036139	ENSMUSG00000021972	ENSMUSG00000021506	ENSMUSG00000037465	ENSMUSG00000023079	ENSMUSG00000099083	ENSMUSG00000038210	ENSMUSG00000019564	ENSMUSG00000034762	ENSMUSG00000062991	ENSMUSG00000022346	ENSMUSG00000019256	ENSMUSG00000026890	ENSMUSG00000002393	ENSMUSG00000038151	ENSMUSG00000015522	ENSMUSG00000040289	ENSMUSG00000030544	ENSMUSG00000030199
ENSMUSG00000008575	0	0	0	0	0	1.54776922471958	0	0	0	5.48075753412039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2805402158405	8.89232868358395	0	0	0	0	0	0	0	0	0	0	0	0	0.188859050725405	0	0	0	0	0	0	0	0	0	0.748224750830856	0	0	0	5.58086506552122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.42438739782735	0	0	0	0	0	0	0	0	0	0	0	0	0	0.523336010421956	0	0	0	0	0	0	0	6.77864190813482	0
ENSMUSG00000005583	7.53997224090038	0	0	0	0	10.5606354538519	0	9.45627688242702	0	6.48537104170149	8.32837695112022	10.6529224842053	0	3.8177739202576	0	0	3.89589349173723	0	0.944604589976871	7.75202176187237	5.1501952675861	0	10.706811463206	13.1408911728567	0	0.98428208524494	1.47036989957166	11.7299425395169	0	0	0	12.7280305525496	13.1839548056197	0	6.33472437557949	0	9.17985524494773	0	4.59289569730311	3.81611777369173	0	0	0	0	6.94780393701673	0	2.61659072601322	0	0	7.47923147273742	0	0	0	0.0534242447300175	0	0	0	0	0	11.7318119990999	0	0	0	0	0	0	0	0	0	3.27961523112659	11.7984413609617	0	8.99238747362737	0	0	3.93794812935733	0.760787042190741	0	0	0	4.20907209923712	0	0	0	0	0	0	0	0	1.79801640703251	5.42683631258194	0	0	0	0	4.56328076759836	0	0	0	0
ENSMUSG00000040732	16.0749287577831	8.87156026488387	0	0	0	3.85437544607623	0	0	0	13.9182808222931	9.06666300307872	9.82277928397399	0	0	0	0	0	0	3.85190525545875	0	16.1383164578202	0	7.09338755853443	0	0	5.86196926124483	0	6.95282225273547	0	0	0	0	0	2.77771962506776	7.37320695788399	0	5.63545235901435	0	0	0	0	0	16.611274373887	0	3.91412545179212	0	0	0	0	0	0	0	0	6.72659011110872	0	0	0	0	0	7.15087417189082	0	0	0	0	0	0	0	0	0	0	0	0	11.0099011979485	0	0	0	1.99720594826292	0	0	0	0	0	0	0	0	0	0	0	0	6.0270711211889	6.48764042149862	0	0	0	0	0	0	0	0	0
ENSMUSG00000025959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020160	0	0	0	0	0	0	0	0	0	0	0	7.55164245297945	0	0.275750280935561	0	0	0.141393108946183	0	5.09929381801786	0	0	0	0	0	0	11.3279679999692	0	0	0	0	7.84949415885019	0	0	0	0	0	0	0	3.05838006950572	6.29551275003536	0	0	0	0	3.3457993789013	0	0	5.52419924309537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85786049795994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2498625745929	0	0	0	0	0	0	0	0	0
ENSMUSG00000064141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032035	9.58519491258518	5.76838378217567	0	0	0	8.19776518603494	0	0	0	7.03530560714046	7.08149679150775	11.5238304628392	0	0	0	0	11.6793211900599	0	16.340874386401	3.58221649136334	10.0522285834043	0	0.149934175637103	1.67067770856852	0	5.3116667021244	11.7412113781415	3.01468655086659	0	0	7.15750204802869	0.43031300112963	10.1516312449574	0	5.34781279474768	0	2.96542078933162	0	12.6856762204008	9.71148367318568	0	0	0.820424755887133	0	12.7117435937158	0	0.0887806111339265	7.70240330081877	0	3.79899423233962	0	0	0	9.48002997914559	0	0	0	0	0	0.53268750490276	0	0	0	0	0	0	0	0	0	0.0756932217851881	0.211808630080005	0	7.96187564068586	0	0	12.1696165166528	6.90748891054185	0	0	0	0	0	0	0	0	0	0	0	0	3.75176373189223	1.46674102444536	0	0	0	0	0	0	0	0	0
ENSMUSG00000050919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031627	6.53497688964356	5.96912215170818	21.9131594202545	0	0	3.41242675754784	0	11.7894000852363	0	0	0	13.9874586230551	0	6.23585757556709	0	0	0	0	6.30207806141532	9.0518564790979	6.31770105166629	0	12.5844361114794	12.7782013324805	0	6.52388601790439	0.0617972075347551	0	0	0	1.32013720102938	0.160832419825405	0.0058084913705427	7.0736836347609	0.887661026490427	0	0	0	0	0	0	0	0	0	3.99257041052974	0	1.10801332016411	0.502507822792787	0	1.1539301743662	0	0	0	0.552683018343339	0	0	0	0	0	7.92121851515772	0	0	0	0	0	0	0	0	0	0.787609255400299	0.695670424448732	0	7.92082763511081	0	0	11.9562255143519	0	0	0	0	12.7913059608393	0	0	0	0	0	0	0	0	0	4.70451962772683	0	0	0	0	0	0	0	0	0
ENSMUSG00000069378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
