ENSMUSG00000008575	ENSMUSG00000005583	ENSMUSG00000040732	ENSMUSG00000025959	ENSMUSG00000000317	ENSMUSG00000020160	ENSMUSG00000064141	ENSMUSG00000032035	ENSMUSG00000050919	ENSMUSG00000031627	ENSMUSG00000069378	ENSMUSG00000044167	ENSMUSG00000031103	ENSMUSG00000025529	ENSMUSG00000029553	ENSMUSG00000006311	ENSMUSG00000055435	ENSMUSG00000022895	ENSMUSG00000053477	ENSMUSG00000018604	ENSMUSG00000008398	ENSMUSG00000029178	ENSMUSG00000024238	ENSMUSG00000027684	ENSMUSG00000062327	ENSMUSG00000028565	ENSMUSG00000000078	ENSMUSG00000023902	ENSMUSG00000027583	ENSMUSG00000028163	ENSMUSG00000038227	ENSMUSG00000024985	ENSMUSG00000053007	ENSMUSG00000022150	ENSMUSG00000040929	ENSMUSG00000046470	ENSMUSG00000024406	ENSMUSG00000020484	ENSMUSG00000000094	ENSMUSG00000024140	ENSMUSG00000063632	ENSMUSG00000044220	ENSMUSG00000025902	ENSMUSG00000026628	ENSMUSG00000040270	ENSMUSG00000020185	ENSMUSG00000057098	ENSMUSG00000038236	ENSMUSG00000055148	ENSMUSG00000027210	ENSMUSG00000030788	ENSMUSG00000042439	ENSMUSG00000048402	ENSMUSG00000032446	ENSMUSG00000030341	ENSMUSG00000027361	ENSMUSG00000027547	ENSMUSG00000000938	ENSMUSG00000068551	ENSMUSG00000018698	ENSMUSG00000058881	ENSMUSG00000055799	ENSMUSG00000028466	ENSMUSG00000071637	ENSMUSG00000048410	ENSMUSG00000040433	ENSMUSG00000034041	ENSMUSG00000021877	ENSMUSG00000047003	ENSMUSG00000007805	ENSMUSG00000079277	ENSMUSG00000075040	ENSMUSG00000055053	ENSMUSG00000033713	ENSMUSG00000026436	ENSMUSG00000016087	ENSMUSG00000056758	ENSMUSG00000075588	ENSMUSG00000026104	ENSMUSG00000038700	ENSMUSG00000026398	ENSMUSG00000036139	ENSMUSG00000021972	ENSMUSG00000021506	ENSMUSG00000037465	ENSMUSG00000023079	ENSMUSG00000099083	ENSMUSG00000038210	ENSMUSG00000019564	ENSMUSG00000034762	ENSMUSG00000062991	ENSMUSG00000022346	ENSMUSG00000019256	ENSMUSG00000026890	ENSMUSG00000002393	ENSMUSG00000038151	ENSMUSG00000015522	ENSMUSG00000040289	ENSMUSG00000030544	ENSMUSG00000030199
ENSMUSG00000008575	0	0	0	0	0	1.27134234251093	0	0	0	7.92468421248317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8175669557262	10.871490841645	0	0	0	0	0	0	0	0	0	0	0	0	7.63256650592089	0	0	0	0	0	0	0	0	0	2.02863536620405	0	0	0	12.5116077968397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.18924007581104	0	0	0	0	0	0	0	0	0	0	0	0	0	7.54191640871301	0	0	0	0	0	0	0	6.44550008163745	0
ENSMUSG00000005583	8.76713046678371	0	0	0	0	10.0319960843652	0	10.0645641114521	0	10.0211117229465	7.58985908042638	8.16194751399511	0	6.88916068964297	0	0	5.00421167083179	0	6.0243911459739	10.3439963343721	7.27942078543536	0	10.2111221946109	9.06108926411342	0	4.10421746254134	3.13458341993185	13.2644600661286	0	0	0	8.5338681578712	9.77244580694845	0	8.29063057183808	0	12.0525328122504	0	13.7955736283596	0.900622561011601	0	0	0	0	10.18387333202	0	6.75063410379432	0	0	9.18933835441226	0	0	0	7.68612692110273	0	0	0	0	0	4.36576537505779	0	0	0	0	0	0	0	0	0	2.63384873098456	8.02822693249692	0	9.47084036508138	0	0	1.78898995997767	12.5641146522011	0	0	0	4.72005825705863	0	0	0	0	0	0	0	0	4.40501579984026	8.45037995828158	0	0	0	0	3.43500361912818	0	0	0	0
ENSMUSG00000040732	15.1552204369261	10.5487681456912	0	0	0	11.0547700535094	0	0	0	12.449973546669	14.4812694476223	10.0757274736994	0	0	0	0	0	0	5.42324154588125	0	14.909697657893	0	9.16220784926085	0	0	10.1061992806717	0	9.53481027080827	0	0	0	0	0	4.56001237903174	8.15767806773461	0	12.243491713806	0	0	0	0	0	19.5697929705568	0	2.24758451548199	0	0	0	0	0	0	0	0	8.04446634167487	0	0	0	0	0	11.2972450333651	0	0	0	0	0	0	0	0	0	0	0	0	11.4880219862471	0	0	0	0.585709970246158	0	0	0	0	0	0	0	0	0	0	0	0	5.90701948486563	2.9107004933228	0	0	0	0	0	0	0	0	0
ENSMUSG00000025959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020160	0	0	0	0	0	0	0	0	0	0	0	3.88567538140646	0	1.61993040772378	0	0	3.66227093413732	0	13.8203674843061	0	0	0	0	0	0	2.1720251273876	0	0	0	0	0.323422172850054	0	0	0	0	0	0	0	5.75114264074796	2.36396516970937	0	0	0	0	10.8093527609787	0	0	0.436003123517261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.32278930810445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.33912497908889	0	0	0	0	0	0	0	0	0
ENSMUSG00000064141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032035	12.418964016451	8.70901971390389	0	0	0	5.00946346199073	0	0	0	9.1119540558732	0.617187385855274	10.814436427156	0	0	0	0	15.2061484512479	0	14.1137016750734	4.4177828201138	10.8449073381683	0	11.2795418094566	8.29139531136562	0	6.71354585721896	8.82587868649859	0.373329081264943	0	0	4.24616122029532	6.35334423264494	7.31167281130607	0	2.78568964137017	0	4.56936193011998	0	9.1178165399107	3.23904396801212	0	0	1.98409973737752	0	14.6877678438213	0	5.49069493860093	9.93251278470663	0	2.33342437774237	0	0	0	3.49254515579267	0	0	0	0	0	0.646758902870104	0	0	0	0	0	0	0	0	0	3.56128399702718	0.479987439250201	0	7.88982268292818	0	0	13.1766272268197	8.30899820487373	0	0	0	0	0	0	0	0	0	0	0	0	2.89418532117227	1.97654002867793	0	0	0	0	0	0	0	0	0
ENSMUSG00000050919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031627	10.0647577163199	10.5326778140295	19.093130773784	0	0	6.89218771679364	0	15.84490602553	0	0	0	11.520565093982	0	6.55849668787731	0	0	0	0	12.2904064528267	8.54936430710395	9.59142249484734	0	11.8797937617293	11.3950186089822	0	7.78696964038279	4.26470776160803	0	0	0	5.83111506267546	6.67440962003582	2.4325642130977	4.85978840987091	6.67311055349563	0	0	0	0	0	0	0	0	0	0.885347895927817	0	0.599219949379792	1.44274945408484	0	0.473416047971104	0	0	0	6.82688788008237	0	0	0	0	0	13.1896591106906	0	0	0	0	0	0	0	0	0	8.50196070971064	1.39316709664395	0	9.39987697556354	0	0	16.0838726627433	0	0	0	0	16.6827757901192	0	0	0	0	0	0	0	0	0	2.3901944961916	0	0	0	0	0	0	0	0	0
